image_id,validation_index,source_filename,roi_x,roi_y,roi_width,roi_height,roi_mse_improvement,roi_texture_energy,roi32_improvement,roi40_improvement,roi48_improvement,roi64_improvement,local_psnr_global,local_psnr_hard,delta_local_psnr,p95_global,p95_hard,delta_p95_reduction,roi_residual_energy_reduction,roi_structured_tv_reduction,global_patch_mse_mean,hard_patch_mse_mean,global_gini,hard_gini,roi_ciede2000_hard,roi_ciede2000_oklab,roi_ciede2000_reduction,roi_chroma_error_hard,roi_chroma_error_oklab,roi_chroma_reduction,semantic_proxy_mean_rgb,semantic_proxy_texture,rank_main,external_local_range,external_vs_hard_local_gap,external_score_raw,external_selection_score,rank_external,roi_local_mse_hidden,roi_local_mse_maskwm,roi_local_mse_global,roi_local_mse_hard,roi_local_mse_oklab,content_diversity_distance
0824,23,0824.png,52,44,32,32,0.00016811839304864407,0.11813820153474808,0.00016811849491205066,0.00015615480951964856,0.00013997050053957436,0.00013450974074658006,30.609068739383662,31.542643950157476,0.6597276468345115,0.0008033478370634839,0.0006873269885545596,0.00011602084850892425,0.0025351971853524446,0.003277219831943512,0.0006387847242876887,0.0005512596108019352,0.05455147334134057,0.04940535573623184,6.8950653076171875,4.1946702003479,2.700395107269287,7.071288585662842,4.065182209014893,3.006106376647949,0.496003657579422,0.04314515367150307,39,0.00018618418835103512,0.001407712115906179,0.0006101058039348573,0.27716010015033676,11,0.0020156484097242355,0.0022018325980752707,0.0008691467810422182,0.0007010283879935741,0.00024592989939264953,
0833,32,0833.png,28,24,32,32,0.00022497831378132105,0.0728502869606018,0.00022497837198898196,0.00021936582401394845,0.00019178997414807478,0.00017837101768236607,30.70231255191862,32.03629245263961,0.8824341192796261,0.0009165609953925014,0.000731058869860135,0.00018550212553236634,0.00336999143473804,0.005543932318687439,0.0007592486217617989,0.0006190098938532174,0.05078368171234254,0.05454529207054491,6.07133674621582,3.4775164127349854,2.593820333480835,6.669696807861328,3.7999324798583984,2.8697643280029297,0.6849210858345032,0.029190383851528168,20,0.000995233713183552,0.0005552963993977755,0.000687204573478084,0.2720568102922659,12,0.0016786198830232024,0.0006833861698396504,0.0008506849408149719,0.0006257066270336509,0.0002161770680686459,
0836,35,0836.png,36,52,32,32,0.00029334862483665347,0.05524327605962753,0.0002933487994596362,0.0002587187848985195,0.0002267965529527929,0.00019451387925073504,29.622959226459017,30.98351942854525,0.8135832810114927,0.0009971840481739491,0.0008235467394115403,0.0001736373087624088,0.003716209437698126,0.0045703016221523285,0.0007683443836867809,0.000636093900538981,0.06913479469893552,0.07059395215361662,5.333494186401367,3.405743360519409,1.927750825881958,7.2599897384643555,4.571319103240967,2.6886706352233887,0.5595678687095642,0.03558292239904404,26,0.0007248843903653324,0.00046964906505309045,0.0005492448734003119,0.2714338458258847,13,0.0016294395318254828,0.0009045551414601505,0.0010906968964263797,0.0007973482715897262,0.00031952327117323875,
0808,7,0808.png,68,52,32,32,0.0002752223517745733,0.08595455437898636,0.00027522226446308196,0.00027301417663693427,0.00023504232780800926,0.00019597086065914482,30.180736081259603,31.649339390232196,0.5413202671304589,0.0008838391077006236,0.000781553695560433,0.0001022854121401906,0.003952205181121826,0.005820171907544136,0.0007146783173084259,0.0005929562612436712,0.05755443338860799,0.06368223862666118,5.73049259185791,3.5262551307678223,2.204237461090088,7.0181169509887695,4.222931861877441,2.795185089111328,0.38151001930236816,0.026027385145425797,43,5.876738578081131e-05,0.0009764757705852389,0.00042325631366111336,0.26233713530653746,14,0.0016311077633872628,0.0016898751491680741,0.0009592380374670029,0.0006840156856924295,0.0002480842231307179,
0846,45,0846.png,20,44,32,32,0.00018881785217672586,0.09023990482091904,0.00018881773576140404,0.0001854083128273487,0.00016763510130759742,0.0001497000630479306,31.33660208754994,32.62591915391921,0.8811889101119981,0.000672015972668305,0.000551361299585551,0.00012065467308275402,0.0030485433526337147,0.004868907853960991,0.0005512784118764102,0.00043961283518001437,0.05279042726506006,0.05845066605354113,6.528100490570068,4.053150653839111,2.474949836730957,6.274096488952637,3.6003339290618896,2.673762559890747,0.5315220952033997,0.034967757761478424,21,0.0002866992726922035,0.0011546119931153953,0.0005708924407372251,0.260888770035731,15,0.00155753327999264,0.0018442325526848435,0.0007350887754000723,0.0005462709232233465,0.00019442790653556585,
0831,30,0831.png,24,56,40,40,0.00027882400900125504,0.08394668579101562,0.00026699702721089125,0.00027882393449544905,0.0002504457047002183,0.0002282986679347232,29.925933237817645,31.317219859202975,1.1733539257327266,0.0009543071791995317,0.0007576428761240095,0.00019666430307552218,0.003846080508083105,0.004687108099460602,0.0007470006821677089,0.0005753955920226872,0.07286015193373192,0.07195473163813768,6.338381290435791,3.7476720809936523,2.5907092094421387,7.247811794281006,4.2454423904418945,3.0023694038391113,0.3152328431606293,0.04114822670817375,8,0.0002529098419472575,0.0007128093275241554,0.00041905749530997123,0.2439999856868942,16,0.0015776410000398755,0.001324731158092618,0.0010172007605433464,0.0007383767515420914,0.00026539264945313334,
0847,46,0847.png,20,44,32,32,0.00018604425713419914,0.10014139115810394,0.0001860442862380296,0.0001705346256494522,0.00015177921805944707,0.00013248162576928735,30.94165925851915,32.08290729867114,0.7218220826569031,0.0007756768318358809,0.0006595527956960723,0.0001161240361398086,0.0028874496929347515,0.003979142755270004,0.0006586252129636705,0.0005469481693580747,0.06623300600417534,0.05953884639132338,6.086061477661133,3.907428026199341,2.178633451461792,6.365428924560547,3.8911185264587402,2.4743103981018066,0.4459592401981354,0.05094550549983978,34,0.0003118145978078246,0.0008699116297066212,0.0004819944908376783,0.21343144507192374,17,0.0013330308720469475,0.001644845469854772,0.0008050707983784378,0.0006190265412442386,0.00023637623235117644,
0849,48,0849.png,12,28,32,32,0.00026172457728534937,0.07113493978977203,0.0002617246063891798,0.00025759026408195496,0.000239275809791353,0.00022306328173726797,30.546603416441933,32.07598765403721,1.1207353590190827,0.0009797857783269137,0.0007528794521931559,0.00022690632613375783,0.004018913023173809,0.00738871842622757,0.0008126422762870789,0.0006365465233102441,0.05539333109986362,0.05781674829069501,6.078803062438965,3.5345540046691895,2.5442490577697754,7.138736724853516,4.105274200439453,3.0334625244140625,0.39030250906944275,0.07187360525131226,11,0.00017747166566550732,0.0006407015607692301,0.0003564527112757787,0.21033562259137653,18,0.0011719793546944857,0.001349451020359993,0.0008817382040433586,0.0006200136267580092,0.00020592288637999445,
0814,13,0814.png,56,60,40,40,0.0001603346026968211,0.062432904243469235,0.0001588724844623357,0.0001603347063064575,0.00013232782172660032,0.00011854871991090477,31.946473775575413,33.20165866835405,0.6018742053818471,0.0006535194406751543,0.0005628044600598514,9.071498061530292e-05,0.0028444004710763693,0.00368436798453331,0.00056734390091151,0.0004877063911408186,0.05126541979209877,0.05243725524783386,4.978105545043945,3.237797260284424,1.7403082847595215,5.658846378326416,3.550614595413208,2.108231782913208,0.3490951955318451,0.017175432294607162,41,0.0005237387958914042,0.0007901470817159861,0.0005443008572910913,0.20827932757042208,19,0.001530463807284832,0.0010067250113934278,0.0006387819303199649,0.0004784473276231438,0.00018734345212578773,
0826,25,0826.png,84,40,32,32,0.0002531894715502858,0.07062861323356628,0.00025318970438092947,0.0002417060360312462,0.00022310510070787536,0.0002141123841283843,29.66252620086103,30.821713239078576,0.7924149253865096,0.0009699758229544386,0.0008086095040198416,0.00016136631893459707,0.0034253369085490704,0.0031403936445713043,0.0007459549233317375,0.0006116037257015705,0.04731123915543133,0.043763835116730626,6.3700642585754395,4.001957416534424,2.3681068420410156,7.71898078918457,4.8603973388671875,2.858583450317383,0.47435441613197327,0.035558342933654785,30,3.304332494735718e-05,0.0007656236412003636,0.00033347566495649515,0.2077177058186858,20,0.0016097609186545014,0.0015767175937071443,0.001080805086530745,0.0008276156149804592,0.00034322915598750114,
