method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share
Global continuation,26,0.00024595315335318446,36.09147605000936,0.9339985847473145,0.9750549793243408,nan,nan,0.003978429827839136,0.9296369552612305,0.9358971118927002,0.8944547772407532,0.8854304552078247,0.8776103258132935,0.05046665668487549,0.001694818027317524,0.0018696039915084839,0.0003208110574632883,0.00032939715310931206,34.93750671209165,0.1256860749806742,0.2209015574936377,1.3441980029090885,0.16802475036363607
Global continuation,27,0.0002313605073140934,36.35710772088408,0.9235796928405762,0.973343551158905,nan,nan,0.0012227375991642475,0.915996789932251,0.9518203139305115,0.8134618103504181,0.8083465099334717,0.8061200976371765,0.1434738039970398,0.0008654354023747146,0.0009482107125222683,0.0002612518146634102,0.000270357406407129,35.82940684247135,0.0690430236575512,0.1274586504599335,1.172080100963759,0.14651001262046986
Global continuation,28,0.00021428322361316532,36.69011828852852,0.9590413570404053,0.9857206344604492,nan,nan,0.0032687415368855,0.9533001184463501,0.9576655626296997,0.9339233040809631,0.9239396452903748,0.9193133115768433,0.03372591733932495,0.0016128499992191792,0.0018630038248375058,0.00026720869936980307,0.00027948008209932595,35.73149406874635,0.08841696149112258,0.163605474440341,1.314198701542096,0.164274837692762
Global continuation,29,0.00017440471856389195,37.58441769297149,0.9571642875671387,0.9858371615409851,nan,nan,0.0018344782292842865,0.9505313634872437,0.9477676749229431,0.9320538341999054,0.9232729077339172,0.9181742668151855,0.02449476718902588,0.001101595931686461,0.0012610458070412278,0.00022344620083458722,0.0002308117072971072,36.50827025074337,0.11167551362068195,0.19751645238771925,1.3403582630509783,0.16754478288137228
Global continuation,30,0.00019277188403066248,37.14956308092722,0.9787299633026123,0.9929382801055908,nan,nan,0.0018402106361463666,0.9729082584381104,0.9719951152801514,0.9646616578102112,0.9582055807113647,0.9546370506286621,0.013789534568786621,0.000513246632181108,0.0005586527404375374,0.0002270909899380058,0.00023160524142440408,36.43800096506074,0.0832798404298318,0.14592674069875128,1.2221562637479124,0.15276953296848905
Global continuation,31,0.00019737127877306193,37.047160450700844,0.9830001592636108,0.9940864443778992,nan,nan,0.001803140388801694,0.9784506559371948,0.9788622260093689,0.971336305141449,0.9656957387924194,0.9620801210403442,0.013166487216949463,0.0008553265361115336,0.0009394136723130941,0.00023377282195724547,0.00023851280639064498,36.31205980599693,0.07781534259615716,0.13706448873946167,1.2256897784200034,0.15321122230250042
Global continuation,32,0.00019898278696928173,37.0118449066358,0.949877142906189,0.9829522967338562,nan,nan,0.00190075789578259,0.9441635608673096,0.966051459312439,0.8518560528755188,0.8378901481628418,0.8347601890563965,0.12816131114959717,0.0016813946422189474,0.0020536461379379034,0.0002234156709164381,0.00022797787823947147,36.50886367684857,0.05073637207507754,0.08982701477920413,1.146934241411217,0.14336678017640211
Global continuation,33,0.00018941141024697572,37.22593862407521,0.9278438091278076,0.9744858741760254,nan,nan,0.0032831556163728237,0.9203654527664185,0.9147207140922546,0.8982821404933929,0.8950129747390747,0.8935114741325378,0.01970773935317993,0.001496591605246067,0.0016992702148854733,0.00021678261691704392,0.0002180510782636702,36.63975545379398,0.06231791275161156,0.10917407632199023,1.165073130947489,0.14563414136843614
Global continuation,34,0.00019613617041613907,37.07442308608616,0.9816999435424805,0.9938912391662598,nan,nan,0.001427246956154704,0.9767100811004639,0.980776846408844,0.961697906255722,0.9444984197616577,0.932756781578064,0.03627842664718628,0.000951948226429522,0.001074089901521802,0.0002246518270112574,0.00022983864982961677,36.48490045098194,0.06411688514935962,0.11280063290962165,1.1733716045146392,0.1466714505643299
Global continuation,35,0.0003104622010141611,35.079912679197804,0.9055507183074951,0.9660241007804871,nan,nan,0.002534579485654831,0.9005963802337646,0.8964011669158936,0.8603062033653259,0.8583216667175293,0.8565801382064819,0.03807950019836426,0.0006904072361066937,0.000741802912671119,0.0005104298470541835,0.0005313903457135893,32.92063938456288,0.26570964283837534,0.4825313220054029,1.8554597191031574,0.23193246488789468
Global continuation,36,0.00018593222193885595,37.306453407412164,0.9683107733726501,0.989127516746521,nan,nan,0.0018464447930455208,0.9637376070022583,0.967605710029602,0.9517454504966736,0.9462257027626038,0.9426088333129883,0.02138000726699829,0.0008306447416543961,0.0010294974781572819,0.00020992728241253644,0.00021223839212325402,36.77931116294899,0.057865362363116096,0.10111320273234567,1.1507346223043555,0.14384182778804444
