image_id,validation_index,source_filename,global_psnr,ours_psnr,psnr_mismatch,global_local_psnr,ours_local_psnr,delta_local_psnr_ours_minus_global,global_p95_mse,ours_p95_mse,delta_p95_mse_ours_minus_global,content_mean_luma,content_texture,roi_x,roi_y,roi_size,roi_mse_reduction,roi_color_reduction,roi_residual_energy_reduction,roi_structure_contrast,roi_texture_energy,roi_content_score,roi_mean_luma,roi_color_spread,roi_score,psnr_match_eligible,selection_rank,selected,sample_number,content_diversity_distance_from_sample_1
0829,28,0829.png,37.53855089415021,37.54090690135231,0.0023560072020956113,35.722860021642326,35.68027215508204,-0.042587866560289456,0.00029405721579678357,0.00030320736550493166,9.150149708148092e-06,0.3369382321834564,0.008105062879621983,88,8,32,1.967811658687424e-05,0.08169858902692795,0.0006212195148691535,0.00013296259567141533,0.003742970060557127,0.1454533557407558,0.4177359640598297,0.14171038568019867,0.8018380875532001,True,11,,,0.2517814338207245
0825,24,0825.png,40.50315506656383,40.49216753248419,0.01098753407963926,37.85757998921963,37.81209539902687,-0.04548459019275697,0.00020191631847410463,0.0002033448727161158,1.4285542420111597e-06,0.474878191947937,0.015028073452413082,44,76,48,3.4924919923974408e-06,0.09093366066614787,0.0001503477105870843,0.00010780058801174164,0.02967809968524509,0.2654978864722782,0.5435335636138916,0.23581978678703308,0.9749072892966341,True,12,,,0.3142029568552971
0841,40,0841.png,42.78406456247389,42.75900407607955,0.025060486394338,41.07364958796248,41.02396041625444,-0.04968917170803877,8.5234540165402e-05,8.659429477120284e-05,1.3597546058008447e-06,0.2665790617465973,0.00829358957707882,80,28,32,1.732276359689422e-06,0.06980497390031815,8.780297503108159e-05,3.898981958627701e-05,0.023443877696990967,0.247999370098114,0.4219781160354614,0.22455549240112305,0.9313906575474971,True,13,,,0.487076710909605
0835,34,0835.png,41.41326905654441,41.371085995107286,0.042183061437121694,38.46984937504229,38.4032351223355,-0.06661425270678478,0.00020161408974672668,0.00020666328055085614,5.049190804129466e-06,0.37259092926979065,0.010663806460797787,80,56,32,5.704984687326942e-06,0.13621024787425995,0.0002345637185499072,0.0001850244589149952,0.0263218954205513,0.18865805119276047,0.6698969602584839,0.16233615577220917,0.9631060693272826,True,14,,,0.25206588953733444
0803,2,0803.png,36.67317384512291,36.62930364934879,0.04387019577411877,33.92076004436107,33.84885179337034,-0.07190825099072384,0.0004959861253155395,0.0004848062017117627,-1.1179923603776842e-05,0.4796040952205658,0.008283434435725212,44,44,32,2.5542196453898214e-05,0.051762454211711884,0.0006433729431591928,7.987068966031075e-05,0.016034044325351715,0.27400825172662735,0.5273267030715942,0.25797420740127563,0.9029412018742253,True,15,,,0.3409297280013561
0847,46,0847.png,40.93390675789327,40.942384581814515,0.008477823921246852,38.08420277380343,37.996490428827286,-0.087712344976147,0.0001901677460409701,0.00018310586528968997,-7.061880751280114e-06,0.4459592401981354,0.013796803541481495,24,8,32,6.002282589179231e-06,0.10329093039035797,0.00033915528911165893,0.00014374451711773872,0.02463400922715664,0.23605838976800442,0.7253420352935791,0.21142438054084778,0.821851484317653,True,16,,,0.28940601646900177
0813,12,0813.png,39.91921596234838,39.89260496608084,0.02661099626754293,36.61836633979271,36.46583985429511,-0.15252648549759584,0.00029037865897407755,0.00030862572020851076,1.8247061234433204e-05,0.4564584791660309,0.010602466762065887,88,20,32,1.3219337233749684e-05,0.08785232901573181,0.0004865588853135705,0.00017254985868930817,0.013667548075318336,0.29802378453314304,0.6411510109901428,0.2843562364578247,0.9298801644085325,True,17,,,0.4119931422173977
0808,7,0808.png,40.899819446801054,41.0824085673546,0.18258912055354415,38.94630226271508,39.294831681517294,0.3485294188022152,0.00014906998694641516,0.0001280112483073026,-2.1058738639112562e-05,0.38151001930236816,0.006989838555455208,60,12,32,1.770562448655255e-05,0.1377795934677124,0.0006968555389903486,0.0001612014602869749,0.008094079792499542,0.2920784428715706,0.5722551345825195,0.28398436307907104,0.9494596721193078,False,18,,,
0842,41,0842.png,42.39929595128642,42.603843770712984,0.20454781942656552,40.89069371056705,41.13517458547597,0.24448087490892334,8.877993059286382e-05,8.243686897912994e-05,-6.34306161373388e-06,0.601584792137146,0.009926008060574532,88,8,32,6.9042298491694964e-06,0.08432241529226303,0.00035763659980148077,0.0002450889442116022,0.004690889734774828,0.11848839046433568,0.7960802316665649,0.11379750072956085,0.84703255227853,False,19,,,
0805,4,0805.png,42.666682921374814,42.76610197553705,0.09941905416223307,41.06727393364447,41.291569255406856,0.22429532176238354,8.989103298517875e-05,8.185048500308767e-05,-8.040547982091084e-06,0.5749167799949646,0.010476003400981426,44,52,32,6.376158125931397e-06,0.11971673369407654,0.0002706554951146245,0.0002633458934724331,0.009595882147550583,0.10292598977684975,0.7895756959915161,0.09333010762929916,0.8712311195131697,False,20,,,
