method,image_index,global_ciede2000_mean,patch_ciede2000_mean,patch_ciede2000_p95,top10_patch_ciede2000,max_patch_ciede2000,mean_signed_delta_a,mean_signed_delta_b,worst_patch_x,worst_patch_y,worst_patch_size
Global continuation,12,3.8731231689453125,3.9479165077209473,5.167091012001038,5.274816513061523,7.131005764007568,-0.14872081577777863,0.32095175981521606,40,58,5
Global continuation,13,3.5010509490966797,3.5377604961395264,4.871613502502441,4.967776775360107,6.271133899688721,-0.7925311326980591,0.7593022584915161,30,35,5
Global continuation,14,3.0509986877441406,3.1047379970550537,4.202990412712097,4.302062034606934,5.800858974456787,-0.6162634491920471,0.6286765336990356,26,27,5
Global continuation,15,3.5576045513153076,3.6085004806518555,5.333277940750122,5.474314212799072,8.755249977111816,-0.16827912628650665,0.16880379617214203,72,115,5
Global continuation,16,3.780287742614746,3.860126495361328,5.388021111488342,5.46602725982666,7.249050140380859,0.09482590854167938,0.14574173092842102,71,74,5
Global continuation,17,2.9716975688934326,3.029521942138672,4.525943160057068,4.644293308258057,6.2648539543151855,-0.10394640266895294,0.25737717747688293,62,121,5
Global continuation,18,3.2473721504211426,3.2578773498535156,5.257583022117615,5.3947038650512695,7.322825908660889,-0.4181498885154724,0.42099109292030334,90,92,5
Global continuation,19,3.044119358062744,3.037675142288208,5.094648957252502,5.266602993011475,8.010623931884766,-0.7354046106338501,0.447374165058136,56,20,5
Global continuation,20,3.3528709411621094,3.4090583324432373,4.701141953468323,4.8061370849609375,6.388523578643799,0.018078550696372986,-0.10995849967002869,103,42,5
Global continuation,21,3.59355092048645,3.6175975799560547,5.575623273849487,5.705177307128906,8.217508316040039,0.5551575422286987,0.31171879172325134,8,74,5
Global continuation,22,3.2692906856536865,3.3056344985961914,4.839900493621826,4.927158355712891,6.67824649810791,0.12733718752861023,0.023992596194148064,49,98,5
Global continuation,23,2.9941246509552,3.0494797229766846,5.140700459480286,5.267396926879883,6.988392353057861,-0.5250803232192993,0.3686465919017792,40,59,5
Global continuation,24,3.109095335006714,3.1594414710998535,4.562666058540344,4.684015274047852,6.875070571899414,-0.16748234629631042,0.3794468939304352,105,50,5
Global continuation,25,3.5945489406585693,3.6169049739837646,5.031001448631287,5.135376930236816,7.13504695892334,-0.9267507195472717,0.7110656499862671,80,80,5
Global continuation,26,4.324687480926514,4.388208389282227,5.902552962303162,5.997640609741211,8.076820373535156,-0.15178367495536804,0.006785057485103607,82,53,5
Global continuation,27,3.1268045902252197,3.2045536041259766,5.374647617340088,5.463925838470459,7.063507080078125,-0.23282155394554138,0.4116850793361664,103,106,5
Global continuation,28,3.5820651054382324,3.6153995990753174,4.922714352607727,5.00617790222168,6.993158340454102,-0.48844635486602783,0.745505690574646,42,52,5
Global continuation,29,3.659435749053955,3.725877523422241,4.996352314949036,5.106860160827637,7.4744157791137695,-0.40898334980010986,0.4187425971031189,87,42,5
Global continuation,30,3.976724147796631,4.051560401916504,5.242328405380249,5.343472480773926,7.202091217041016,-0.24624347686767578,0.29669642448425293,89,59,5
Global continuation,31,3.2753477096557617,3.329749822616577,4.562403321266174,4.661988258361816,6.375528335571289,-0.03073023445904255,0.14048069715499878,57,92,5
Global continuation,32,3.369849681854248,3.4123401641845703,4.602847456932068,4.693510055541992,6.6560750007629395,-0.5206567645072937,0.49639296531677246,88,90,5
Global continuation,33,4.180172443389893,4.227495193481445,5.506902575492859,5.594504356384277,7.113708019256592,-0.04301611706614494,0.28660643100738525,39,90,5
Global continuation,34,3.9124319553375244,3.98744797706604,5.439159631729126,5.5259108543396,7.15364933013916,-0.31927019357681274,0.5021824836730957,40,42,5
Global continuation,35,3.6414780616760254,3.6957881450653076,5.63581907749176,5.798735618591309,8.246255874633789,0.1613612025976181,0.2260351926088333,32,60,5
