model,image_index,global_mse,patch_mean_mse,top10_patch_mse,top25_patch_mse,max_patch_mse,patch_mse_std,patch_mse_cv,worst_global_ratio,max_global_ratio,local_ssim_top25,local_ssim_worst,local_lpips_top25,local_lpips_worst
No-crop Global,21,0.0015817462699487805,0.0015817462699487805,0.0024496109690517187,0.0022748811170458794,0.0024544144980609417,0.0005767190596088767,0.36460909247398376,1.4382085800170898,1.551711916923523,0.921419084072113,0.8831586241722107,0.0013976654736325145,0.001584590645506978
No-crop Global,22,0.0006078552105464041,0.0006078551523387432,0.0008376570185646415,0.0007911870488896966,0.0008523648139089346,0.000146891747135669,0.24165581166744232,1.3016045093536377,1.4022496938705444,0.9604118466377258,0.9389045238494873,0.001381389214657247,0.0019887296948581934
No-crop Global,23,0.0008140165009535849,0.0008140165591612458,0.0010443003848195076,0.001008786610327661,0.001072834013029933,0.00018992155673913658,0.2333141416311264,1.2392704486846924,1.3179512023925781,0.899368405342102,0.8747602105140686,0.001633116160519421,0.0026137742679566145
No-crop Global,24,0.0006145649240352213,0.0006145648658275604,0.0007820148020982742,0.0007328980136662722,0.000868307426571846,9.861151920631528e-05,0.16045744717121124,1.1925477981567383,1.4128814935684204,0.9399008750915527,0.936646044254303,0.0013611464528366923,0.0018831142224371433
No-crop Global,25,0.0006257151835598052,0.0006257151253521442,0.0010823969496414065,0.0009952269028872252,0.0011459331726655364,0.0002489746839273721,0.3979041874408722,1.5905430316925049,1.8313974142074585,0.9468939900398254,0.9448232054710388,0.0027309353463351727,0.0034992131404578686
No-crop Global,26,0.0006399454432539642,0.0006399454432539642,0.0009497720748186111,0.0008939954568631947,0.0010113343596458435,0.00018495855329092592,0.28902238607406616,1.396986961364746,1.5803446769714355,0.9593835473060608,0.9567583203315735,0.0014277412556111813,0.0018667348194867373
No-crop Global,27,0.0005934416549280286,0.0005934415967203677,0.0007536254706792533,0.0007177499355748296,0.0008051195763982832,0.00010389765520812944,0.1750764399766922,1.2094701528549194,1.3566954135894775,0.9272899031639099,0.9140565991401672,0.0010619222884997725,0.0019357965793460608
No-crop Global,28,0.0004968905705027282,0.0004968905705027282,0.000748692371416837,0.0006908065406605601,0.0008007477154023945,0.00013794111146125942,0.27760863304138184,1.3902589082717896,1.6115171909332275,0.9700527787208557,0.9663960933685303,0.000867909868247807,0.0010314054088667035
No-crop Global,29,0.0005270306137390435,0.0005270306137390435,0.0007797996513545513,0.0007363022887147963,0.0008060976397246122,0.0001399046159349382,0.26545822620391846,1.3970768451690674,1.5295082330703735,0.9502227902412415,0.9380262494087219,0.0023143284488469362,0.0038544461131095886
No-crop Global,30,0.0006327401497401297,0.0006327401497401297,0.0008930267067626119,0.0008153437520377338,0.0010204181307926774,0.00013743362796958536,0.21720390021800995,1.288591742515564,1.6126970052719116,0.9679168462753296,0.9619152545928955,0.0011737160384654999,0.0016107456758618355
No-crop Global,31,0.0005339181516319513,0.0005339182098396122,0.0008315672748722136,0.0007570263114757836,0.0008818843052722514,0.00014958265819586813,0.2801602780818939,1.4178695678710938,1.6517219543457031,0.9771629571914673,0.976265013217926,0.0007728314376436174,0.0008466572617180645
No-crop Global,32,0.0005821949453093112,0.0005821950035169721,0.0007995666819624603,0.0007270275382325053,0.0008445309358648956,0.00011287160305073485,0.19387252628803253,1.2487698793411255,1.4505982398986816,0.9231285452842712,0.8952047824859619,0.002060460392385721,0.0035354122519493103
No-crop Global,33,0.0004939172649756074,0.0004939172649756074,0.000730888161342591,0.0006687482236884534,0.0008221777970902622,0.00011681160685839131,0.2365003526210785,1.3539681434631348,1.6646063327789307,0.9549559354782104,0.9406802654266357,0.0011983937583863735,0.0013217437081038952
No-crop Global,34,0.0006242817617021501,0.0006242817617021501,0.0008079151157289743,0.000786377175245434,0.0008370771538466215,0.00013404690253082663,0.21472179889678955,1.2596510648727417,1.3408643007278442,0.9638861417770386,0.9419509768486023,0.0013073949376121163,0.002262270310893655
No-crop Global,35,0.0009629437699913979,0.0009629438281990588,0.001776067540049553,0.001534756738692522,0.0020439336076378822,0.00046394552919082344,0.4817991852760315,1.5938175916671753,2.122588634490967,0.9206040501594543,0.900590181350708,0.004566590301692486,0.0077155898325145245
No-crop Global,36,0.0005149912904016674,0.0005149912904016674,0.0007957632187753916,0.000710239284671843,0.0008901801775209606,0.00014680942695122212,0.2850716710090637,1.3791286945343018,1.728534460067749,0.9745795726776123,0.970257580280304,0.0009267294080927968,0.001120427274145186
No-crop Global,37,0.0008531285566277802,0.000853128673043102,0.0011046447325497866,0.001088406192138791,0.001116297789849341,0.00018007434846367687,0.21107527613639832,1.2757821083068848,1.3084754943847656,0.9621879458427429,0.949101448059082,0.0008365270332433283,0.0009811680065467954
