method,image_index,crop_ratio,repeat,protected_bits,raw_ber,raw_bit_accuracy,detection_success,exact_decode_success,ecc_corrected_success,schema,logit_mean,logit_abs_mean
TrustMark Q,5,70%,0,100,0.03,0.97,1,1,1,1,0.1262342929840088,5.285648345947266
TrustMark Q,5,70%,1,100,0.04,0.96,0,0,0,-1,-0.0005002927500754595,5.816439628601074
TrustMark Q,5,70%,2,100,0.0,1.0,1,1,1,1,0.08146610110998154,6.439095973968506
TrustMark Q,5,70%,3,100,0.02,0.98,0,0,0,-1,-0.024774465709924698,5.489578723907471
TrustMark Q,5,70%,4,100,0.01,0.99,1,1,1,1,0.06834262609481812,6.221985340118408
TrustMark Q,5,50%,0,100,0.1,0.9,0,0,0,-1,0.2370443195104599,3.277554512023926
TrustMark Q,5,50%,1,100,0.08,0.92,0,0,0,-1,0.014743843115866184,4.146447658538818
TrustMark Q,5,50%,2,100,0.07,0.9299999999999999,0,0,0,-1,0.09388317912817001,4.276423931121826
TrustMark Q,5,50%,3,100,0.09,0.91,0,0,0,-1,0.015362867154181004,2.623762845993042
TrustMark Q,5,50%,4,100,0.03,0.97,0,0,0,-1,0.013293957337737083,3.8577451705932617
TrustMark Q,5,40%,0,100,0.11,0.89,0,0,0,-1,0.09105297923088074,2.736644983291626
TrustMark Q,5,40%,1,100,0.19,0.81,0,0,0,-1,0.22637979686260223,2.364258289337158
TrustMark Q,5,40%,2,100,0.21,0.79,0,0,0,-1,-0.05821333825588226,0.8512383103370667
TrustMark Q,5,40%,3,100,0.26,0.74,0,0,0,-1,0.046718522906303406,1.1007487773895264
TrustMark Q,5,40%,4,100,0.13,0.87,0,0,0,-1,0.11235223710536957,2.713329553604126
TrustMark Q,5,30%,0,100,0.24,0.76,0,0,0,-1,-0.10453424602746964,0.6457893252372742
TrustMark Q,5,30%,1,100,0.2,0.8,0,0,0,-1,0.01092175580561161,1.2366005182266235
TrustMark Q,5,30%,2,100,0.24,0.76,0,0,0,-1,0.07140304893255234,1.129412055015564
TrustMark Q,5,30%,3,100,0.38,0.62,0,0,0,-1,-0.09833832085132599,0.41892945766448975
TrustMark Q,5,30%,4,100,0.25,0.75,0,0,0,-1,-0.11358186602592468,1.067346215248108
TrustMark Q,6,100%,0,100,0.0,1.0,1,1,1,1,1.9880915880203247,10.10710620880127
TrustMark Q,6,100%,1,100,0.0,1.0,1,1,1,1,1.9880915880203247,10.10710620880127
TrustMark Q,6,100%,2,100,0.0,1.0,1,1,1,1,1.9880915880203247,10.10710620880127
TrustMark Q,6,100%,3,100,0.0,1.0,1,1,1,1,1.9880915880203247,10.10710620880127
