image_id,validation_index,source_filename,PSNR_base,PSNR_ours,local_PSNR_base,local_PSNR_ours,delta_local_PSNR,P95_base,P95_ours,delta_P95,Gini_base,Gini_ours,dense_P16S8_mean_improvement,patch_RGB_MSE_base_mean,patch_RGB_MSE_ours_mean,absolute_residual_energy_base,absolute_residual_energy_ours,roi_x,roi_y,roi_size,roi_mse_improvement,roi_texture_energy,roi32_improvement,roi40_improvement,roi48_improvement,roi64_improvement,ranking_grid,roi_search_grid,rank
0816,15,0816.png,37.498650815533466,37.62165588345511,36.7636833192895,37.105486280395226,0.34180296110572783,0.00021256478794384748,0.00019784718460869044,1.4717603335157037e-05,0.07982275408365032,0.05905989558724781,5.32354488314013e-06,0.00017788319382816553,0.0001729156356304884,0.010455368086695671,0.010343429632484913,72,8,32,3.2836807804415e-05,0.04617546498775482,3.2836807804415e-05,2.4459315463900568e-05,2.087416942231357e-05,1.4930330507922918e-05,native32_nonoverlap,pixel residual map; stride4 candidates,11
0824,23,0824.png,36.53554596266747,36.83475564379828,35.654809991788305,35.984799041829945,0.3299890500416396,0.00028486586961662397,0.00026202467415714636,2.2841195459477603e-05,0.10218209057449042,0.08703055159537557,1.6122323359013535e-05,0.00022204723791219294,0.00020726426737383008,0.011697480455040932,0.011320691555738449,12,16,32,4.7042547521414235e-05,0.016023315489292145,4.7042547521414235e-05,4.2636925354599955e-05,3.854036913253367e-05,3.0668717954540625e-05,native32_nonoverlap,pixel residual map; stride4 candidates,12
0801,0,0801.png,37.25962264914192,37.40824475765696,36.318161340410455,36.646978811921,0.32881747151054697,0.00024543969266233034,0.00022088264813646674,2.4557044525863603e-05,0.103567246348557,0.08206913034953466,7.002783604548313e-06,0.00018794802599586546,0.00018162500055041164,0.010741219855844975,0.010585322976112366,24,44,32,3.2130534236785024e-05,0.0617508739233017,3.2130534236785024e-05,2.751402324065566e-05,2.761104001870586e-05,2.3869864890002646e-05,native32_nonoverlap,pixel residual map; stride4 candidates,13
0804,3,0804.png,35.93116865007238,36.164253857285104,35.05649186421972,35.36652806772655,0.3100362035068258,0.0003141368360957131,0.0002920573897426948,2.2079446353018284e-05,0.08905522979731065,0.07869610996753724,1.3389439118327573e-05,0.00025520147755742073,0.0002418658696115017,0.012338396161794662,0.012018141336739063,76,8,32,3.445794209255837e-05,0.09249502420425415,3.445794209255837e-05,2.776206936687231e-05,2.6693952450942663e-05,2.278459578519687e-05,native32_nonoverlap,pixel residual map; stride4 candidates,14
0829,28,0829.png,34.32197536894727,34.523518756681085,33.711966225665,34.00410847078226,0.2921422451172617,0.00043081633339170367,0.00040421850280836225,2.659783058334142e-05,0.07311088281943746,0.06447081576744981,1.7220943846041337e-05,0.0003696599742397666,0.0003528970992192626,0.014923825860023499,0.014598561450839043,72,48,32,4.3764874135376886e-05,0.07832738757133484,4.3764874135376886e-05,3.645010991021991e-05,3.1720080490534507e-05,2.637478246469982e-05,native32_nonoverlap,pixel residual map; stride4 candidates,15
0846,45,0846.png,37.49035268032098,37.66132538053546,36.44178184915833,36.730582490918664,0.28880064176033216,0.00023823098672437482,0.0002169341896660626,2.1296797058312222e-05,0.12145866486476967,0.10908763745534401,7.353264663834125e-06,0.00017822335939854383,0.0001713434321573004,0.010108047164976597,0.009915411472320557,44,16,32,3.883594035869464e-05,0.051990050822496414,3.883594035869464e-05,3.345086006447673e-05,2.9346701921895146e-05,2.1164520148886368e-05,native32_nonoverlap,pixel residual map; stride4 candidates,16
0802,1,0802.png,33.50609012252055,33.80071863690712,33.018724394738534,33.304121912239346,0.28539751750081166,0.000503422343172133,0.00046904911869205534,3.4373224480077624e-05,0.05132218406626568,0.04969495796737223,3.0272180083557032e-05,0.0004460577038116753,0.0004168003797531128,0.016369570046663284,0.01581648923456669,52,32,32,4.067068948643282e-05,0.09128060936927795,4.067068948643282e-05,3.826750908046961e-05,3.624039689182407e-05,3.5536348150344566e-05,native32_nonoverlap,pixel residual map; stride4 candidates,17
0808,7,0808.png,36.466032556430015,36.6744325799521,35.6415719204727,35.914136702517936,0.2725647820452366,0.0002777126937871799,0.00026065354177262634,1.7059152014553547e-05,0.09556791574543015,0.08508580018605646,1.0905883755185641e-05,0.00022562997764907777,0.00021505856420844793,0.01168349664658308,0.011424210853874683,60,8,32,4.057021578773856e-05,0.02215738780796528,4.057021578773856e-05,3.086177632212639e-05,2.4801555102587576e-05,1.987880386877805e-05,native32_nonoverlap,pixel residual map; stride4 candidates,18
0812,11,0812.png,36.81825115190934,37.0061419047436,36.43102499756012,36.69805763494209,0.26703263738196625,0.00022787738271290436,0.00021648233814630657,1.139504456659779e-05,0.04033465763604624,0.03669439804759154,9.610096640244592e-06,0.00020805337408091873,0.0001992442412301898,0.011355239897966385,0.011134695261716843,84,72,32,3.23549029417336e-05,0.09066885709762573,3.23549029417336e-05,2.9431350994855166e-05,2.310755694957657e-05,1.5993915440049022e-05,native32_nonoverlap,pixel residual map; stride4 candidates,19
0834,33,0834.png,36.76368541905572,37.07836976635599,36.14835554017783,36.38291691260686,0.23456137242902741,0.0002477421803632751,0.00023209101345855743,1.5651166904717684e-05,0.07955695151606677,0.09531233131867983,1.4499264580081217e-05,0.0002106839674524963,0.00019595796766225249,0.011037345975637436,0.010639246553182602,72,16,32,3.6109609936829656e-05,0.01751987263560295,3.6109609936829656e-05,3.5747354850173e-05,3.383691526121563e-05,2.7667751055560075e-05,native32_nonoverlap,pixel residual map; stride4 candidates,20
