image_id,validation_index,source_filename,delta_local_psnr,delta_p95,max_positive_d_patch,positive_d_patch_area,top10_residual_reduction,roi_mse_improvement,roi_x,roi_y,roi_size,roi32_improvement,roi40_improvement,roi48_improvement,roi64_improvement,patch_mse_base_mean,patch_mse_ours_mean,semantic_proxy_mean_rgb,semantic_proxy_texture,rank,content_diversity_distance
0812,11,0812.png,0.8307768817343941,0.00012424532906152308,0.0002118198317475617,1.0,0.0028938651084899902,0.0002035473589785397,84,92,32,0.0002035473589785397,0.00016288753598928452,0.0001469439206024011,0.00013383509940467775,0.0006398927071131766,0.0005277048330754042,0.4564560651779175,0.03928641602396965,23,
0818,17,0818.png,0.8215941961427866,0.00014769559493288398,0.00018556753639131784,0.9375,0.003248445689678192,0.00020512327319011092,8,76,32,0.00020512327319011092,0.0001962563581764698,0.00017835800018575456,0.00016348791541531682,0.0006885628681629896,0.0005776196485385299,0.5775483250617981,0.04102083295583725,24,
0819,18,0819.png,0.816078588927521,0.0001544105471111834,0.00020836025942116976,1.0,0.0034867189824581146,0.00023923718254081905,12,76,32,0.00023923718254081905,0.00022787565365433692,0.00021409751692165932,0.0001987410942092538,0.0007242578431032598,0.0005819855723530054,0.40653499960899353,0.03937216475605965,25,
0836,35,0836.png,0.8135842537541897,0.00017363789083901793,0.00021282839588820934,1.0,0.003926120698451996,0.0002933487994596362,36,52,32,0.0002933487994596362,0.0002587187848985195,0.0002267965529527929,0.00019451387925073504,0.0007683443836867809,0.00063609384233132,0.5595678687095642,0.03558292239904404,26,
0803,2,0803.png,0.8066030970637321,0.00028891555848531425,0.00034161785151809454,1.0,0.00414908304810524,0.0004346238565631211,48,28,32,0.0004346238565631211,0.0003764443099498749,0.0003117120876494381,0.0002650765236467123,0.0010751993395388126,0.0009172367863357067,0.479604035615921,0.03161511570215225,27,
0806,5,0806.png,0.8009226929183875,0.000137309601996094,0.00020336353918537498,1.0,0.0023714378476142883,0.00022449719836004078,28,40,32,0.00022449719836004078,0.0002115815319120884,0.00018574183599816429,0.00015452041407115757,0.0006874027894809842,0.000586507492698729,0.4593068063259125,0.030828719958662987,28,
0832,31,0832.png,0.7995597118182758,9.908452921081334e-05,0.00019829219672828913,1.0,0.0032593682408332825,0.00020060724637005478,12,20,32,0.00020060724637005478,0.0001922585256397724,0.00016590095280359188,0.00016039158799685538,0.000688645988702774,0.0005546933971345425,0.3638356924057007,0.047960929572582245,29,
0826,25,0826.png,0.7924162041456029,0.00016136671183630824,0.00023550406331196427,1.0,0.003853447735309601,0.0002555052051320672,72,92,32,0.0002555052051320672,0.0002417060360312462,0.00022310510070787536,0.0002141123841283843,0.0007459550397470593,0.0006116038421168923,0.47435447573661804,0.035558342933654785,30,
0817,16,0817.png,0.7709756453812204,0.00016719664563424885,0.0003559217439033091,1.0,0.0028320923447608948,0.000354297662852332,4,92,32,0.000354297662852332,0.0003144320100545883,0.0003052957666416963,0.0002731987915467471,0.0009329052991233766,0.0007780513260513544,0.4578501284122467,0.033605340868234634,31,
0801,0,0801.png,0.7611668099333748,9.959725139196962e-05,0.00018850070773623884,1.0,0.0037794560194015503,0.00021293167083058506,56,12,32,0.00021293167083058506,0.00020856019109487532,0.00017526951463272175,0.00015651083958800882,0.0006089428788982332,0.00047917175106704235,0.4834509789943695,0.04462282359600067,32,
