model,checkpoint,checkpoint_sha256,alpha,psnr,ssim,lpips,local_psnr,p95_mse,gini,ciede2000,clip_fraction,clip_flag_over_1pct,clip_flag_over_5pct
candidate_worst_patch16_weight50_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed29_128_m64_crop/checkpoint_0100.pth,4f63b63021b540113475458c9476201c7a659d9e9cc0f02fd4eccdf5d07d3aaa,1.5,30.89599735178934,0.8945920383930206,0.009650089452043176,30.236400780010417,0.000995689131668769,0.0771389942356441,6.645560636520385,0.011164957657456398,True,False
candidate_worst_patch16_weight50_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed29_128_m64_crop/checkpoint_0100.pth,4f63b63021b540113475458c9476201c7a659d9e9cc0f02fd4eccdf5d07d3aaa,2.0,28.434036493409955,0.8442935693264008,0.01694247396662831,27.782641778571666,0.0017495459085330367,0.07574914994819894,8.480010051727294,0.016278890892863274,True,False
candidate_worst_patch16_weight50_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed29_128_m64_crop/checkpoint_0100.pth,4f63b63021b540113475458c9476201c7a659d9e9cc0f02fd4eccdf5d07d3aaa,2.5,26.536984250789292,0.7953410291671753,0.02603108823299408,25.89337135796184,0.00270075028820429,0.07437549301429298,10.136724891662597,0.022158203646540642,True,False
candidate_worst_patch16_weight50_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed29_128_m64_crop/checkpoint_0100.pth,4f63b63021b540113475458c9476201c7a659d9e9cc0f02fd4eccdf5d07d3aaa,3.0,24.996645134717447,0.7488886880874633,0.03668240139260888,24.3604673801685,0.00383850205456838,0.07309428252104312,11.636479988098145,0.028261719271540642,True,False
candidate_worst_patch16_weight50_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed29_128_m64_crop/checkpoint_0100.pth,4f63b63021b540113475458c9476201c7a659d9e9cc0f02fd4eccdf5d07d3aaa,4.0,22.585965404041982,0.6644936299324036,0.06132272135466337,21.963160424890976,0.006650956962257624,0.07106637933591747,14.248736553192138,0.040733642876148224,True,False
candidate_worst_patch16_weight50_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed29_128_m64_crop/checkpoint_0100.pth,4f63b63021b540113475458c9476201c7a659d9e9cc0f02fd4eccdf5d07d3aaa,5.0,20.73832937970834,0.5911350041627884,0.08926179207861423,20.127074339744425,0.01012446204200387,0.06944824522495717,16.45953327178955,0.053638916462659836,True,True
candidate_worst_patch16_weight50_seed41_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed41_128_m64_crop/checkpoint_0100.pth,9f1d09c7fcedacd724baf078eaf98a75b328d75e76fc364c0594501363148040,1.0,36.225874928880486,0.9592575538158417,0.003154756217263639,35.568754935900394,0.00029376910206337927,0.07701092999838975,3.7757193756103518,0.0,False,False
candidate_worst_patch16_weight50_seed41_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed41_128_m64_crop/checkpoint_0100.pth,9f1d09c7fcedacd724baf078eaf98a75b328d75e76fc364c0594501363148040,1.5,32.723179377668174,0.9210592997074127,0.007056647362187505,32.070440128585076,0.0006566896158619784,0.07654083739013261,5.52368085861206,0.0075927735306322575,False,False
candidate_worst_patch16_weight50_seed41_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed41_128_m64_crop/checkpoint_0100.pth,9f1d09c7fcedacd724baf078eaf98a75b328d75e76fc364c0594501363148040,2.0,30.24768582689656,0.8797689557075501,0.01249295128043741,29.59964572596542,0.0011591873725410552,0.07608591270328559,7.157809591293335,0.010887044481933117,True,False
candidate_worst_patch16_weight50_seed41_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed41_128_m64_crop/checkpoint_0100.pth,9f1d09c7fcedacd724baf078eaf98a75b328d75e76fc364c0594501363148040,2.5,28.336433365260852,0.8384027242660522,0.019397287825122476,27.69095767997979,0.0017969834944233298,0.07575893486263693,8.677504711151123,0.014814860187470913,True,False
