image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,ciede2000_global,ciede2000_patch_mean,ciede2000_top10,ciede2000_p95,ciede2000_max,signed_cielab_da,signed_cielab_db,global_oklab,global_chroma,signed_oklab_da,signed_oklab_db,method,split,ber100,ber70,ber50,ber40,ber30
3,0.0002294064179295674,36.393944363370736,0.9833673238754272,0.9943598508834839,0.0024711827281862497,0.9767360687255859,0.9779636263847351,0.9687943458557129,0.9642598628997803,0.9613065123558044,0.013703763484954834,0.0018105155322700739,0.002161237411201,0.0002786255208775401,0.0002799901703838259,35.54979106617475,0.08391857652696834,0.15114488519479763,1.252828627751099,0.15660357846888737,3.5523476600646973,3.611335277557373,4.836067199707031,4.753109455108643,5.998312473297119,-0.49592891335487366,0.4611409306526184,0.011749560944736004,0.010348153300583363,-0.0009865922620519996,0.0013065878301858902,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.015625,0.04375,0.1125
4,0.0001646828604862094,37.83351598059133,0.974332332611084,0.9915258288383484,0.0011250899406149983,0.9703923463821411,0.9742022752761841,0.9452554285526276,0.9380654096603394,0.9366263151168823,0.03613686561584473,0.0005431498866528273,0.000650714966468513,0.0001929540012497455,0.000197918572666822,37.14546211118665,0.06927993864518181,0.12318449499151499,1.221734082634749,0.15271676032934361,3.470749855041504,3.5440962314605713,4.8266801834106445,4.756714582443237,6.178000450134277,0.08033210039138794,0.06262140721082687,0.010807782411575317,0.009199338033795357,0.0002071335620712489,0.0001805664214771241,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.0125,0.0375,0.078125
5,0.00020835101895499974,36.812043712544515,0.9517666697502136,0.9847025275230408,0.0013532290467992425,0.9438498020172119,0.943600058555603,0.9115000665187836,0.9034439921379089,0.8976191282272339,0.04015606641769409,0.0005587016930803657,0.0006649108836427331,0.0002424733538646251,0.00024674449741723947,36.15335980382913,0.0692147815565979,0.12428735855413817,1.2224593726177306,0.15280742157721633,2.98710036277771,3.0219738483428955,4.664119720458984,4.571589350700378,6.713740825653076,-0.5930300951004028,0.571963369846344,0.011674976907670498,0.009662453085184097,-0.0012854671804234385,0.0015967193758115172,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.015625,0.059375,0.084375
6,0.0003541887563187629,34.507652295553825,0.9526836276054382,0.9835166931152344,0.0039754593744874,0.9447710514068604,0.9576835036277771,0.9080756902694702,0.8935815691947937,0.880363941192627,0.0641019344329834,0.0012021970469504595,0.001316120382398367,0.0005254460847936571,0.0005375850305426866,32.794718396316604,0.20210345371593139,0.35726762709960413,1.5551488874545363,0.19439361093181703,3.139077663421631,3.164595603942871,5.092548847198486,4.902290344238281,8.593170166015625,-1.3824999332427979,1.2154128551483154,0.015735099092125893,0.01206841692328453,-0.003521607955917716,0.0030576803255826235,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.00625,0.021875,0.065625
7,0.00020310236141085625,36.922850271528375,0.9329789876937866,0.9770556688308716,0.0022079842165112495,0.9257316589355469,0.929919421672821,0.8780985772609711,0.8696678876876831,0.8613526225090027,0.06025153398513794,0.0010851931292563677,0.0012943355832248926,0.00024260353529825807,0.0002469686805852689,36.15102874741753,0.08734912538256548,0.1643080305417367,1.2880449704121661,0.16100562130152077,2.821560859680176,2.8594424724578857,4.711031913757324,4.622282862663269,6.168931484222412,-0.44807863235473633,0.47413742542266846,0.011683294549584389,0.00966078694909811,-0.0007357170106843114,0.0013535250909626484,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.0125,0.05,0.128125
8,0.00022923295910004526,36.39722939382662,0.9645089507102966,0.9875842332839966,0.0015811847988516092,0.9592225551605225,0.961810827255249,0.9449713826179504,0.9435043334960938,0.9425739049911499,0.018306493759155273,0.000863932422362268,0.0009631518041715026,0.00029398160404525697,0.00030088310450082645,35.316798447973454,0.11649539044938324,0.2048648581153025,1.3199748302985885,0.16499685378732357,3.066551685333252,3.0781869888305664,5.011605739593506,4.925174355506897,6.341742992401123,-0.7028437256813049,0.5371472835540771,0.01244709175080061,0.010273371823132038,-0.0019459492759779096,0.0012199691263958812,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.009375,0.034375,0.103125
9,0.00018008233746513724,37.44528880837265,0.9586028456687927,0.9861375093460083,0.0018191757844761014,0.95108962059021,0.9596318006515503,0.9195323884487152,0.9146206974983215,0.9103454947471619,0.04501110315322876,0.0010515186004340649,0.001245878404006362,0.0002107669279212132,0.00021256624313537031,36.7619753457968,0.06973325696178075,0.12399221637294373,1.209963692953157,0.15124546161914462,3.1635985374450684,3.2249441146850586,5.117262840270996,5.030014872550964,7.268758773803711,-0.4409480690956116,0.3937665820121765,0.010839358903467655,0.00954405777156353,-0.001237419550307095,0.0008967768517322838,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.009375,0.04375,0.13125
10,0.00017148948973044753,37.657624919007645,0.9545012712478638,0.9843320846557617,0.0021814238280057907,0.9504562020301819,0.952999472618103,0.9234924912452698,0.9169131517410278,0.9112305641174316,0.036086320877075195,0.0007613061461597681,0.0009511689422652125,0.00020229713118169457,0.0002121620564139448,36.94010276007218,0.0707775006789675,0.12673539351560234,1.2405580320755867,0.15506975400944834,3.557180404663086,3.611886739730835,5.153356552124023,5.0547215938568115,7.057036876678467,-0.22932393848896027,0.3294105529785156,0.011705121025443077,0.010054228827357292,-0.0006109756068326533,0.0009402817813679576,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.009375,0.028125,0.09375
11,0.00018643679504748434,37.29468371439709,0.9630875587463379,0.9876682162284851,0.0006729828892275691,0.9563044905662537,0.969659686088562,0.9152960777282715,0.8808155059814453,0.8541151881217957,0.0888441801071167,0.0008329994743689895,0.0009974490385502577,0.00019990031432826072,0.00020160595886409283,36.991865229858256,0.0347639934198354,0.06369785415480057,1.0871218849017468,0.13589023561271835,3.4362549781799316,3.509377956390381,5.213850498199463,5.108322620391846,7.0465922355651855,-0.41700175404548645,0.4977183938026428,0.01141951885074377,0.00994679145514965,-0.0008711699629202485,0.0013462617062032223,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.01875,0.025,0.09375
12,0.00024368985032197088,36.13162558796217,0.9602168798446655,0.9869918823242188,0.001609512371942401,0.9511234760284424,0.9568085670471191,0.9096720218658447,0.888468861579895,0.8798898458480835,0.06833970546722412,0.0008594660321250558,0.0008692819974385202,0.00036603325861506164,0.0004513125604717061,34.36479451827534,0.16923062990556528,0.3531901799658802,1.8656471561184258,0.23320589451480322,3.665982723236084,3.73518443107605,5.163538932800293,5.068095803260803,6.527679920196533,-0.014852404594421387,-0.038692884147167206,0.012541950680315495,0.010816234163939953,0.00017326066154055297,1.0126263077836484e-05,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.01875,0.0375,0.09375
