method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,global_ciede2000_mean,patch_ciede2000_mean,patch_ciede2000_p95,top10_patch_ciede2000,max_patch_ciede2000,mean_signed_delta_a,mean_signed_delta_b
JPEG Global,20,0.00024678654153831303,36.07678528168046,0.9596900939941406,0.9863206744194031,nan,nan,0.002082978840917349,0.9520056247711182,0.964070200920105,0.9201925098896027,0.9005895256996155,0.8852688670158386,0.0634806752204895,0.0007289507775567472,0.0007803654298186302,0.0002714778238441795,0.00027271763246972114,35.66265640754523,0.05124765994564868,0.09196901597787124,1.108436484832377,0.1385545606040471,4.067670822143555,4.134441375732422,5.7423059940338135,5.8828253746032715,8.150470733642578,0.060415662825107574,-0.14736562967300415
JPEG Global,21,0.00042238374589942396,33.74292802600214,0.9727703928947449,0.9903992414474487,nan,nan,0.0031836291309446096,0.9656319618225098,0.9692420363426208,0.9480539262294769,0.9188308715820312,0.9008949995040894,0.0504111647605896,0.0009885957697406411,0.0010264415759593248,0.0005259097670204937,0.0005640043236780912,32.7908876353962,0.11979504108983856,0.21510986960267067,1.3394532228161042,0.16743165285201303,4.046058654785156,4.059121608734131,6.352043271064758,6.49131965637207,9.347064971923828,0.6921391487121582,0.18440885841846466
JPEG Global,22,0.0002703035424929112,35.68148262569709,0.9387006759643555,0.9782273173332214,nan,nan,0.0018742810934782028,0.9315327405929565,0.9353344440460205,0.8916159570217133,0.889397144317627,0.8891819715499878,0.045937299728393555,0.0007657399983145297,0.0007782153552398086,0.0003553341666702181,0.00037103978684172034,34.493630315116995,0.1287083874660029,0.22563053363805508,1.3905545697685937,0.1738193212210742,3.9923038482666016,3.9880340099334717,5.941475987434387,6.0558013916015625,8.94145393371582,-0.08003992587327957,0.028076082468032837
JPEG Global,23,0.0002948825713247061,35.30350895136185,0.919875979423523,0.9718031883239746,nan,nan,0.001957629807293415,0.9124574661254883,0.9227675795555115,0.8399514257907867,0.8257103562355042,0.8139634132385254,0.09705722332000732,0.0013308634515851736,0.0018203952349722385,0.00033659962355159223,0.00033940831053769216,34.72886374068922,0.0655233634998394,0.1146832111738636,1.1548115998020385,0.14435144997525481,3.490962028503418,3.5605833530426025,6.032983422279358,6.156430244445801,8.613851547241211,-0.61775141954422,0.420518696308136
JPEG Global,24,0.0002631645475048572,35.79772617565922,0.9267348051071167,0.9753562808036804,nan,nan,0.0022250963374972343,0.9147522449493408,0.9174874424934387,0.8858245015144348,0.8750494718551636,0.8724414706230164,0.042437970638275146,0.0008435790659859776,0.0009223888628184795,0.0003029914223589003,0.0003049284059670754,35.18569666134418,0.05895528487692205,0.10515036969137605,1.1643456679221098,0.14554320849026373,3.857415199279785,3.9053776264190674,5.292210102081299,5.436339855194092,8.103564262390137,-0.2191910296678543,0.31150656938552856
JPEG Global,25,0.0002789771242532879,35.54431406826316,0.9366155862808228,0.9785827398300171,nan,nan,0.0026474464684724808,0.9272638559341431,0.9238260984420776,0.8974570631980896,0.8944953083992004,0.8918022513389587,0.029330790042877197,0.005539114121347666,0.006760412827134132,0.0003888183564413339,0.0004055079334648326,34.102532398543254,0.14707146227346302,0.26924638244286836,1.51803238916312,0.18975404864539,4.171655178070068,4.187443733215332,5.867558002471924,5.976325511932373,7.979734897613525,-1.0580124855041504,0.6863837242126465
JPEG Global,26,0.0002871985489036888,35.4181775873584,0.9199279546737671,0.9692192077636719,nan,nan,0.0037733411882072687,0.9159864783287048,0.9254827499389648,0.8709567487239838,0.8569319248199463,0.8480472564697266,0.06855082511901855,0.0016663869610056281,0.002059658756479621,0.00035464216489344835,0.00036636264849221334,34.50209630574025,0.0997542506456685,0.17431735698621628,1.2820027975083672,0.1602503496885459,4.922554016113281,4.97873592376709,6.615650773048401,6.725627899169922,8.687995910644531,-0.5547489523887634,0.08963833749294281
JPEG Global,27,0.0002996711991727352,35.233549942628905,0.9058996438980103,0.9658358097076416,nan,nan,0.0022031418047845364,0.8973724842071533,0.936738133430481,0.7798771560192108,0.7716997861862183,0.7668718695640564,0.1650383472442627,0.0012192762224003673,0.0012581583578139544,0.0003397714754100889,0.00034478105953894556,34.68813083948391,0.06405264635967678,0.11371739895672042,1.1655344615156245,0.14569180768945306,3.8485054969787598,3.925520658493042,6.488754034042358,6.628596305847168,9.272466659545898,-0.3971630930900574,0.4186619222164154
JPEG Global,28,0.00025266167358495295,35.97460631498937,0.950248122215271,0.9822869300842285,nan,nan,0.002468202030286193,0.9435930252075195,0.9504438638687134,0.9188862442970276,0.9019086360931396,0.8943876028060913,0.04853522777557373,0.0014183365274220705,0.0014433538308367133,0.00029980187537148595,0.0003074305132031441,35.23165654806817,0.06770194433984147,0.124203010724602,1.233289294796999,0.15416116184962486,4.211258888244629,4.2312211990356445,5.854184985160828,5.989216327667236,8.533527374267578,-0.5735086798667908,0.5679440498352051
JPEG Global,29,0.00021266972180455923,36.722943370329936,0.9480665922164917,0.9823979735374451,nan,nan,0.0017145213205367327,0.9411738514900208,0.9362881183624268,0.9183233678340912,0.9086617827415466,0.9060532450675964,0.027626335620880127,0.001452236669138074,0.0017479290254414082,0.0002613349643070251,0.00026718478329712525,35.8280248162452,0.0992602075082256,0.1759716545705012,1.2776414550922104,0.1597051818865263,4.332308769226074,4.4015350341796875,6.035796284675598,6.157654285430908,8.396795272827148,-0.397627055644989,0.21643510460853577
JPEG Global,30,0.00023714634880889207,36.24983557515831,0.9744593501091003,0.9913505911827087,nan,nan,0.0027758581563830376,0.9677922129631042,0.9665930271148682,0.9592039585113525,0.9523811936378479,0.9498889446258545,0.014211833477020264,0.0007078878115862608,0.0007619561511091888,0.00027182031772099435,0.00027243943623034284,35.657180842322006,0.06846894001583699,0.12049441814275881,1.1520794090761561,0.14400992613451952,4.712958335876465,4.781371116638184,6.046920418739319,6.163398742675781,8.132272720336914,-0.36019253730773926,0.2684398889541626
JPEG Global,31,0.00025602139066904783,35.917237477294165,0.978449821472168,0.9922801852226257,nan,nan,0.0021547258365899324,0.9731429219245911,0.9736459255218506,0.9626885056495667,0.9579366445541382,0.95489501953125,0.015709280967712402,0.0008995757671073079,0.0009070983505807817,0.00030184866045601666,0.0003051164385396987,35.202107471182806,0.07619205528843886,0.1340826024025699,1.1993575709743862,0.14991969637179828,4.100933074951172,4.155722618103027,5.809340596199036,5.93791389465332,8.506524085998535,0.0015873070806264877,0.015139441937208176
JPEG Global,32,0.00024375955399591476,36.13038353408333,0.9402970671653748,0.9791145324707031,nan,nan,0.0024081456940621138,0.9337934255599976,0.9594423174858093,0.8228123784065247,0.8119314908981323,0.8116257190704346,0.147510826587677,0.002760533709079027,0.002855774015188217,0.00026524608256295323,0.00027257153851678595,35.76351021503364,0.03597389301602728,0.06381938572343022,1.1207120314339474,0.14008900392924342,4.0091705322265625,4.055130481719971,5.577694773674011,5.708429336547852,7.8059258460998535,-0.3679856061935425,0.27494779229164124
JPEG Global,33,0.00024595146533101797,36.09150585654845,0.914219081401825,0.9687246680259705,nan,nan,0.003367779077962041,0.9062901735305786,0.9005916118621826,0.8821682929992676,0.8775837421417236,0.8771185278892517,0.023007869720458984,0.0013818638399243355,0.0014351930003613234,0.000275917787803337,0.00027875947853317484,35.59220300623324,0.05427535079329951,0.09522470626926666,1.1342355782840325,0.14177944728550407,4.925765037536621,4.9650115966796875,6.524651527404785,6.636325836181641,8.358611106872559,-0.5205848217010498,0.3165256381034851
JPEG Global,34,0.00024185876827687025,36.16438163205307,0.976805567741394,0.9921513795852661,nan,nan,0.0011713585117831826,0.9708151817321777,0.976214587688446,0.9503853917121887,0.9299237728118896,0.9154412746429443,0.046290814876556396,0.0006290355231612921,0.0006362023996189237,0.0002698913449421525,0.0002738968614721671,35.68811042468803,0.04938892802124845,0.08702191685028818,1.1348874534524194,0.14186093168155242,4.5477447509765625,4.634725570678711,6.308033227920532,6.425534248352051,8.263052940368652,-0.34013092517852783,0.3870207667350769
JPEG Global,35,0.0003590053820516914,34.44899040619926,0.8888821005821228,0.9586584568023682,nan,nan,0.004321244079619646,0.8842044472694397,0.8816882371902466,0.8348227441310883,0.8322622179985046,0.8306878805160522,0.04942601919174194,0.0014814878813922405,0.0014845160767436028,0.0005557698896154761,0.0005742898356402293,32.551049860366525,0.23095504120718208,0.41866826648767347,1.7285410084376462,0.21606762605470578,4.1848225593566895,4.216874122619629,6.248030066490173,6.404144287109375,9.044829368591309,-0.11619779467582703,0.25586915016174316
JPEG Global,36,0.0002472777559887618,36.0681494908888,0.960269570350647,0.9859592914581299,nan,nan,0.002657113363966346,0.955156683921814,0.9585068225860596,0.9410501420497894,0.9336856603622437,0.9283725619316101,0.024821162223815918,0.0008649434894323349,0.000926716485992074,0.0002879615349229425,0.00029979366809129715,35.40665520179577,0.0635449491234463,0.11331479585089002,1.216217953041047,0.15202724413013088,4.559804439544678,4.614411354064941,6.207959175109863,6.309919357299805,8.305940628051758,-0.3543963134288788,0.356987863779068
JPEG Global,37,0.00035944339470006526,34.44369492777639,0.9516252279281616,0.9824023246765137,nan,nan,0.0015895082615315914,0.9427567720413208,0.9371353983879089,0.9232056736946106,0.9055728912353516,0.8929452896118164,0.03156250715255737,0.0006803126307204366,0.0007319655269384384,0.0004121799429412931,0.0004184543140581809,33.84913145215347,0.06655443345339779,0.11960652501787578,1.1854991191263475,0.14818738989079344,3.0702624320983887,3.080195426940918,4.263542056083679,4.4045729637146,7.508435249328613,-0.942736029624939,0.8515161275863647
JPEG Global,38,0.000515177845954895,32.880428210877064,0.9465492963790894,0.9800583720207214,nan,nan,0.0030680315103381872,0.9379436373710632,0.9454323053359985,0.8889007270336151,0.8463059663772583,0.8246748447418213,0.09912633895874023,0.0009342730045318604,0.0010828747181221843,0.0006315800710581243,0.0006419165438273922,31.99571582219849,0.10245630244644031,0.18139873425354652,1.2512920799092913,0.1564115099886614,3.44612455368042,3.4627387523651123,6.595636248588562,6.711747646331787,9.248615264892578,1.3352757692337036,0.5309545993804932
