method,image_index,global_ciede2000,ciede2000_top10,ciede2000_p95,global_chroma,chroma_top10,chroma_p95,global_mse,global_psnr,global_ssim,global_ms_ssim,full_lpips,top25_local_psnr,patch_mse_p95,gini,cv,top10_over_mean,top10_energy_share,ber50,ber40,ber30
Hard Top10 incumbent,43,3.0227646827697754,4.493184566497803,4.3244160413742065,0.009592913091182709,0.013831998221576214,0.013421484967693686,0.00023582478752359748,36.27410548185204,0.8818850517272949,0.9579232931137085,0.0032399308402091265,34.97577880292059,0.0003239053694414906,0.1291250716243327,0.23687606052119153,1.3780124184954499,0.17225155231193123,0.0375,0.05,0.109375
Hard Top10 incumbent,44,3.958758592605591,5.184151649475098,5.105138301849365,0.010200027376413345,0.013844972476363182,0.013428152073174715,0.0001929707359522581,37.14508546837206,0.9327836036682129,0.9769605398178101,0.0019819398876279593,36.468535379746164,0.0002315640049346257,0.07809924212234907,0.13773974864935043,1.2082288424239624,0.1510286053029953,0.025,0.05,0.109375
Hard Top10 incumbent,45,3.733856678009033,5.230924606323242,5.142545223236084,0.009946729056537151,0.015650074928998947,0.015007065841928124,0.00017134344670921564,37.661325011696334,0.965352475643158,0.9879921674728394,0.002216754015535116,36.73058308629661,0.00021693411690648645,0.10908758801828657,0.19777993107944428,1.3059333655317955,0.16324167069147444,0.025,0.03125,0.1125
Hard Top10 incumbent,46,4.033757209777832,5.749685764312744,5.6049288511276245,0.011139826849102974,0.01765189692378044,0.016862204764038324,0.0002263764472445473,36.451687601861714,0.9778758883476257,0.9926619529724121,0.002146859187632799,35.32494410751942,0.0003110767647740431,0.1368584023707629,0.24621160699255976,1.4365368343323504,0.1795671042915438,0.028125,0.04375,0.146875
Hard Top10 incumbent,47,3.355318307876587,5.115292072296143,5.001718997955322,0.011529550887644291,0.016482889652252197,0.01600059913471341,0.0002708390529733151,35.672887134434454,0.969782292842865,0.990203857421875,0.001376376487314701,34.51416561725975,0.0003549516186467372,0.123162617110784,0.2186522223152333,1.3577401146335406,0.16971751432919258,0.01875,0.01875,0.128125
Hard Top10 incumbent,48,3.6347649097442627,4.940983772277832,4.841245055198669,0.01105712540447712,0.014301583170890808,0.01409982074983418,0.00023632512602489442,36.26490101838398,0.9882563352584839,0.9959346055984497,0.001725616049952805,35.75754726730242,0.00027039061387768015,0.055744182989647874,0.09772679384406652,1.1459893202891107,0.14324866503613884,0.0,0.065625,0.08125
Hard Top10 incumbent,49,3.9933834075927734,5.726283073425293,5.557401657104492,0.01074233278632164,0.017301080748438835,0.01597793959081173,0.00021503363677766174,36.67493599971306,0.9695113897323608,0.9896788597106934,0.0024675289168953896,34.9706976442191,0.00036921574064763263,0.1543294357161788,0.3245240344060943,1.7778528418858806,0.22223160523573507,0.0,0.06875,0.10625
Hard Top10 + global OKLab,0,3.9051408767700195,5.225919723510742,5.16100013256073,0.009488730691373348,0.012769276276230812,0.012572366511449218,0.00016959825006779283,37.70578633151369,0.9796873927116394,0.9932310581207275,0.001973196864128113,36.93106187151854,0.0002088607579935342,0.08408938736192624,0.1470222212193323,1.241929189772259,0.15524114872153238,0.0125,0.0375,0.1125
Hard Top10 + global OKLab,1,2.849313259124756,4.510427474975586,4.39309298992157,0.012278048321604729,0.017804516479372978,0.017349957954138517,0.00040541100315749645,33.921044684063645,0.975560188293457,0.9916176199913025,0.0023606372997164726,33.40320406228456,0.0004588271403918043,0.050633433640652536,0.09062090898689394,1.1344508786045702,0.14180635982557127,0.0125,0.05,0.11875
Hard Top10 + global OKLab,2,2.792081356048584,5.639889717102051,5.4227670431137085,0.012501982040703297,0.022345568984746933,0.02144930837675929,0.0004149124724790454,33.82043509862737,0.9547132849693298,0.9835824370384216,0.0026450904551893473,32.16674505704886,0.0006413942755898461,0.1739980623588857,0.3122030415910941,1.5479832341305906,0.19349790426632382,0.015625,0.046875,0.10625
