base_condition,ours_condition,same_condition,base_phase,ours_phase,promoted_pair,base_w_msg,ours_w_msg,base_lambda_img,ours_lambda_img,ber30_base,ber30_ours,abs_delta_ber30,psnr_base,psnr_ours,local_psnr_base,local_psnr_ours,delta_local_psnr,p95_base,p95_ours,delta_p95,gini_base,gini_ours,rank,selected
promoted_wmsg40,img05,False,promoted,,False,40.0,10.0,1.0,0.5,0.111375,0.11575,0.004375000000000004,33.78577818110702,34.96787302470802,33.04112845272648,34.20468947436314,1.16356102163666,0.0005226872711500619,0.00040437078307149933,-0.00011831648807856258,0.08671867329051054,0.09105890734985335,61,False
wmsg40_img05,img05,False,,,False,40.0,10.0,0.5,0.5,0.1150625,0.11575,0.0006875000000000075,33.798163565194784,34.96787302470802,33.04940138032077,34.20468947436314,1.1552880940423762,0.0005250476794026326,0.00040437078307149933,-0.00012067689633113329,0.08909127508113628,0.09105890734985335,62,False
wmsg20_img05,promoted_wmsg20,False,,promoted,False,20.0,20.0,0.5,1.0,0.1150625,0.111125,0.0039374999999999966,34.53364915648359,35.6377520441701,33.76628491542652,34.90593517217285,1.1396502567463358,0.0004466118017444387,0.00034487296783481725,-0.00010173883390962146,0.09124007026377726,0.0891638264225587,63,False
reference,promoted_reference,False,,promoted,False,10.0,10.0,1.0,1.0,0.1148125,0.111,0.0038124999999999964,35.31424488733145,36.410612332292104,34.52222366386737,35.65298752384227,1.1307638599748984,0.0003785038368368987,0.00029455477531882936,-8.394906151806933e-05,0.09555778711609784,0.0945688821649359,64,False
wmsg40,reference,False,,,False,40.0,10.0,1.0,1.0,0.1146875,0.1153125,0.0006250000000000006,34.238306554370105,35.38101385790666,33.483743425758995,34.612166679219534,1.1284232534605394,0.0004757613530091476,0.00036961714286007916,-0.00010614421014906841,0.08971934697013262,0.09203502663692882,65,False
wmsg20_img025,reference,False,,,False,20.0,10.0,0.25,1.0,0.115,0.1153125,0.00031249999999999334,34.28189094354105,35.38101385790666,33.52642413738608,34.612166679219534,1.0857425418334543,0.00047112922184169295,0.00036961714286007916,-0.00010151207898161378,0.08948576694184554,0.09203502663692882,66,False
wmsg40_img025,wmsg20_img05,False,,,False,40.0,20.0,0.25,0.5,0.1151875,0.11475,0.00043749999999999345,33.541478059055905,34.57588208746528,32.798180944968735,33.82959060585981,1.0314096608910788,0.0005560941119620111,0.0004391070944257081,-0.00011698701753630301,0.08805669260476585,0.08827097640392045,67,False
img025,promoted_wmsg20,False,,promoted,False,10.0,20.0,0.25,1.0,0.114875,0.111125,0.0037500000000000033,34.69796547460056,35.6377520441701,33.92379659211995,34.90593517217285,0.9821385800529043,0.0004312837414909154,0.00034487296783481725,-8.641077365609815e-05,0.09231015136704405,0.0891638264225587,68,False
promoted_wmsg40,img025,False,promoted,,False,40.0,10.0,1.0,0.25,0.111375,0.11525,0.0038750000000000034,33.78577818110702,34.72839100005883,33.04112845272648,33.967204826937284,0.9260763742108011,0.0005226872711500619,0.0004264892234641593,-9.619804768590262e-05,0.08671867329051054,0.0906037966119158,69,False
wmsg40_img05,img025,False,,,False,40.0,10.0,0.5,0.25,0.1150625,0.11525,0.0001875000000000071,33.798163565194784,34.72839100005883,33.04940138032077,33.967204826937284,0.9178034466165172,0.0005250476794026326,0.0004264892234641593,-9.855845593847334e-05,0.08909127508113628,0.0906037966119158,70,False
wmsg20_img05,reference,False,,,False,20.0,10.0,0.5,1.0,0.1150625,0.1153125,0.0002500000000000002,34.53364915648359,35.38101385790666,33.76628491542652,34.612166679219534,0.8458817637930167,0.0004466118017444387,0.00036961714286007916,-7.699465888435955e-05,0.09124007026377726,0.09203502663692882,71,False
wmsg40_img025,wmsg40,False,,,False,40.0,40.0,0.25,1.0,0.1151875,0.114375,0.0008124999999999938,33.541478059055905,34.33324343945972,32.798180944968735,33.60665170743549,0.8084707624667544,0.0005560941119620111,0.00046085295602097174,-9.524115594103936e-05,0.08805669260476585,0.08561970507495395,72,False
promoted_wmsg40,wmsg20_img05,False,promoted,,False,40.0,20.0,1.0,0.5,0.111375,0.11475,0.003375000000000003,33.78577818110702,34.57588208746528,33.04112845272648,33.82959060585981,0.7884621531333309,0.0005226872711500619,0.0004391070944257081,-8.358017672435383e-05,0.08671867329051054,0.08827097640392045,73,False
wmsg20,promoted_wmsg20,False,,promoted,False,20.0,20.0,1.0,1.0,0.1154375,0.111125,0.004312499999999997,34.900542732286006,35.6377520441701,34.12323929151835,34.90593517217285,0.7826958806545008,0.0004129919313709252,0.00034487296783481725,-6.811896353610793e-05,0.09268271594954415,0.0891638264225587,74,False
