method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,ciede2000_global,ciede2000_p95,ciede2000_max,crop_ratio,repeat,raw_bit_accuracy,raw_ber,detection_success,exact_decode_success,schema,train_epochs,train_images,train_batch_size,train_steps,train_last_loss
Q-control,12,5.8532761613605544e-05,42.32600985107476,0.9913870692253113,0.9954524040222168,nan,nan,0.001194987678900361,0.9905372858047485,0.99265456199646,0.9821338355541229,0.9717991352081299,0.9643945693969727,0.020855426788330078,0.0010779048316180706,0.001307975617237389,0.0001270091743208468,0.00015570262621622533,38.96164907288032,0.41546588919460004,0.8340744790279352,2.9082275324136635,0.36352844155170794,0.5146089792251587,1.691780966520307,7.36475944519043,50,2,0.97,0.03,1,1,1,2,64,4,32,1.4418116807937622
Q-control,13,6.810290506109595e-05,41.66834362021223,0.9943585395812988,0.9950411319732666,nan,nan,0.0015825519803911448,0.9941741824150085,0.9956700205802917,0.9887389540672302,0.9868533611297607,0.9850382804870605,0.008816659450531006,0.0004899029154330492,0.000615062948781997,0.00011754874140024185,0.00012048095049976837,39.29782016525057,0.302240759624089,0.5345603179536178,1.8820797995819445,0.23525997494774306,0.5593255758285522,1.74886485338211,7.874661922454834,50,2,0.91,0.09,0,0,1,2,64,4,32,1.4418116807937622
Q-control,14,2.987176958413329e-05,45.247390493121564,0.9901763200759888,0.9937824606895447,nan,nan,0.0006869315402582288,0.9909172654151917,0.9913209676742554,0.9840339124202728,0.9807678461074829,0.9787428379058838,0.010553121566772461,0.0004219704132992774,0.00044979792437516153,6.222489173524082e-05,7.154999730119016e-05,42.060358503453784,0.40375677149415895,0.735177637505263,2.4092313094769047,0.3011539136846131,0.3281245529651642,1.026226699352264,2.9188098907470703,50,2,0.96,0.04,0,0,3,2,64,4,32,1.4418116807937622
Q-control,15,9.952692926162854e-05,40.02059395160005,0.9885510206222534,0.994773268699646,nan,nan,0.0007143563707359135,0.9863617420196533,0.9912046194076538,0.9622271656990051,0.9547977447509766,0.9520946741104126,0.036406874656677246,0.000271005294052884,0.00029738590819761157,0.00020374951418489218,0.0002758564369287342,36.90903418107358,0.379711134342134,0.7557357544019365,2.776973863659975,0.3471217329574969,0.5647058486938477,1.8902211904525734,9.015666007995605,50,2,0.87,0.13,0,0,3,2,64,4,32,1.4418116807937622
Q-control,16,4.925900066155009e-05,43.07514403125758,0.990501880645752,0.9946920871734619,nan,nan,0.0015570843825116754,0.9897668957710266,0.990422248840332,0.9848643243312836,0.9757607579231262,0.967214047908783,0.01466149091720581,0.00031842145835980773,0.0003521051839925349,0.00010098150232806802,0.00010712160474213306,39.957581724805344,0.394486158304943,0.7564682332094779,2.4838262508562163,0.31047828135702704,0.41730231046676636,1.2422408998012542,5.3743791580200195,50,2,0.97,0.03,1,1,1,2,64,4,32,1.4418116807937622
Q-control,17,2.9770410037599504e-05,45.26215183632064,0.9937507510185242,0.9958442449569702,nan,nan,0.0010178843513131142,0.9940314292907715,0.9964625835418701,0.9876636862754822,0.9829747080802917,0.9804399013519287,0.01348787546157837,0.00025817344430834055,0.00025850621750578284,6.985168147366494e-05,7.367098078248091e-05,41.55823135062402,0.48949042873093607,0.9957626940457512,3.026508841872998,0.3783136052341248,0.3240911662578583,1.0431593894958495,4.10988712310791,50,2,1.0,0.0,1,1,1,2,64,4,32,1.4418116807937622
Q-control,18,0.00011002857354469597,39.58494517374976,0.9886683821678162,0.9931692481040955,nan,nan,0.002185631077736616,0.988674521446228,0.9903758764266968,0.9798921346664429,0.9688399434089661,0.9587234258651733,0.021535933017730713,0.0003431778750382364,0.00038079285877756774,0.00025839440058916807,0.000281805288977921,35.877169017434184,0.4524208918077968,0.8430944781657427,2.6125968657207252,0.32657460821509066,0.5654556751251221,1.9597641527652707,9.299893379211426,50,2,0.96,0.04,1,1,1,2,64,4,32,1.4418116807937622
Q-control,19,0.00015327543951570988,38.145274298640864,0.9905203580856323,0.9944618940353394,nan,nan,0.0009484795155003667,0.9896851778030396,0.9919198155403137,0.9812367260456085,0.9783704280853271,0.977435827255249,0.013549387454986572,0.0003708415024448186,0.00040191190782934427,0.0003087429504375905,0.00033925990283023566,35.104029499136765,0.3608166573728667,0.6635176443098294,2.3082162832359066,0.2885270354044883,0.6671764850616455,2.2416011691093427,9.19920825958252,50,2,0.98,0.02,1,1,1,2,64,4,32,1.4418116807937622
Q-control,20,6.370046321535483e-05,41.95857409561963,0.9866664409637451,0.9936431646347046,nan,nan,0.0010840632021427155,0.9856300950050354,0.9878233075141907,0.9718457162380219,0.9610240459442139,0.9586019515991211,0.026799261569976807,0.0005394086474552751,0.0006175304297357798,0.0001226481981575489,0.0001444180052203592,39.11338827693893,0.36968270731271713,0.6628765520612603,2.2812345601130697,0.2851543200141337,0.4215880036354065,1.4099560320377347,5.459536552429199,50,2,0.98,0.02,1,1,1,2,64,4,32,1.4418116807937622
Q-control,21,0.0001148219162132591,39.39975209655297,0.9915571212768555,0.9962183237075806,nan,nan,0.0010286555625498295,0.9895482063293457,0.9897825717926025,0.9828549027442932,0.9814218878746033,0.9812449216842651,0.008360683917999268,0.00023657127167098224,0.00028017780277878046,0.00020034841145388782,0.00020801594655495137,36.98214096702935,0.30802676135294493,0.5413647423501843,1.8365425344121789,0.22956781680152236,0.584296703338623,1.92445706129074,8.633282661437988,50,2,0.96,0.04,1,1,1,2,64,4,32,1.4418116807937622
Q-control,22,6.702418613713235e-05,41.7376845087434,0.9830174446105957,0.9911326766014099,nan,nan,0.0008267202065326273,0.9820768237113953,0.9878963828086853,0.9665328860282898,0.9614477157592773,0.9566263556480408,0.02644866704940796,0.0004151032480876893,0.0004335594712756574,0.00016204956045839936,0.00020486611538217403,37.90352142606166,0.47334462403016137,0.9246948410026959,3.090635852292727,0.38632948153659086,0.43707627058029175,1.4722962737083434,6.298522472381592,50,2,0.92,0.08,0,0,1,2,64,4,32,1.4418116807937622
Q-control,23,5.761663123848848e-05,42.39452137886658,0.9874090552330017,0.9928001165390015,nan,nan,0.0009905806509777904,0.9882974624633789,0.9894766807556152,0.9826668798923492,0.9779534339904785,0.9740527868270874,0.011523246765136719,0.00020071075414307415,0.0002058520185528323,0.00010944536188617349,0.00012474787581595592,39.60802638389537,0.3429592487063031,0.6248453154390521,2.264553004883095,0.2830691256103869,0.4516676366329193,1.4462805330753314,5.716097354888916,50,2,0.94,0.06,0,0,1,2,64,4,32,1.4418116807937622
