method,image_index,global_mse,top25_local_psnr,patch_mse_p95,patch_mse_p99,full_lpips,ciede2000_global,ciede2000_top10,gini,ber30
Global+OKLab-only,11,0.00023620393767487258,35.65166201550867,0.0002819799119606614,0.00028779779095202687,0.001888555008918047,3.7178147550434915,5.287148380321202,0.05632765199247048,0.11875
Global+OKLab-only,12,0.00019488099496811628,36.27148374478959,0.0002499629044905305,0.0002574295736849308,0.00185256521217525,3.927375288797748,5.344030451318841,0.07982998967135306,0.15625
Global+OKLab-only,13,0.00029461979283951223,34.48373397613638,0.0003633436936070211,0.0003793251366005279,0.002450561849400401,3.5573916416533393,5.0132706110266625,0.09038547726338395,0.15625
Global+OKLab-only,14,0.0002086320164380595,36.218488519330975,0.00024373681662837043,0.00024782364052953196,0.002306340727955103,3.0765084738861788,4.333029567295847,0.06528262205357195,0.1375
Global+OKLab-only,15,0.0002738356124609709,34.884119222436084,0.00033367692958563566,0.0003345034550875425,0.001877174829132855,3.59875025859003,5.505827006688887,0.09372258471509134,0.146875
Global+OKLab-only,16,0.00020543718710541725,35.75484944128394,0.0002667336229933426,0.0003008235566085204,0.0025610504671931267,3.8228220784178575,5.535412448119126,0.1216355529843641,0.065625
Global+OKLab-only,17,0.00020910559396725148,36.09997199457854,0.00025197934155585244,0.00025225156132364647,0.002124171704053879,2.997738512635351,4.694851738860727,0.084347683363955,0.04375
Global+OKLab-only,18,0.0002817640779539943,34.58866966371999,0.000365638654329814,0.0003733306919457391,0.0025961464270949364,3.299790067600725,5.46402868786427,0.10189645819497721,0.0625
Global+OKLab-only,19,0.0004478982591535896,32.33703894871149,0.0005905264697503299,0.0007525054214056581,0.003165222005918622,3.072931577282361,5.31698567766207,0.12972284270754528,0.078125
Global+OKLab-only,20,0.00021668295084964484,36.04970700962128,0.0002546425093896687,0.000259632954839617,0.0013902477221563458,3.413465127508971,4.870795044807913,0.06871632327593365,0.08125
Global+OKLab-only,21,0.00040326511953026056,32.83652313117973,0.0005434653139673173,0.0005435811239294708,0.002996383234858513,3.6517301165985145,5.767416162186233,0.13779089571509634,0.065625
Global+OKLab-only,22,0.00023633478849660605,34.77123799944732,0.00034697691444307566,0.00036742854863405224,0.0016926279058679938,3.3111900730721118,4.997111585106221,0.15680300421145665,0.071875
Global+OKLab-only,23,0.00025811666273511946,35.2116938066405,0.00030812129261903465,0.0003089214849751443,0.0016342520248144865,3.0443453335683444,5.345467775308265,0.07352220964523463,0.071875
Global+OKLab-only,24,0.00022394373081624508,35.82472414854169,0.0002662113984115422,0.00027349450392648577,0.0016011655097827315,3.1013286216845017,4.69455479574064,0.06813934017206927,0.084375
Global+OKLab-only,25,0.0002476730151101947,34.537109538970206,0.00038020975625840947,0.0004024700479931198,0.0021116030402481556,3.6160812241873828,5.183037641286773,0.15199938954030337,0.075
Global+OKLab-only,26,0.0002651791146490723,34.61706417297526,0.00035476708580972627,0.00035638627741718665,0.004311993718147278,4.354250946989396,6.0489786119233955,0.12271656004042289,0.05625
Global+OKLab-only,27,0.0002516000531613827,35.48753874408927,0.0002917445162893273,0.00029366426897468043,0.0012063899775967002,3.143065551592656,5.532704932117261,0.06809743465857353,0.053125
Global+OKLab-only,28,0.00023211548977997154,35.36660287080253,0.00030461335700238124,0.00030806825525360183,0.0033085495233535767,3.6127785294643218,5.055484515345221,0.08951690056314966,0.096875
