method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share
TrustMark Q,11,5.124638482811861e-05,42.903367664590846,0.9914861917495728,0.9954923987388611,nan,nan,0.000652174698188901,0.9910978674888611,0.9917881488800049,0.9865982532501221,0.9805241823196411,0.9752874374389648,0.01126396656036377,0.0002464586868882179,0.00025487973471172154,9.724326082505286e-05,0.00010632805606292095,40.12140486535994,0.3606747918503273,0.6511965583645228,2.2279885634458516,0.27849857043073145
TrustMark Q,12,5.7677330914884806e-05,42.38994845302459,0.991878867149353,0.9957678318023682,nan,nan,0.0011314372532069683,0.9910305142402649,0.9928190112113953,0.9840762913227081,0.9740691184997559,0.9667468070983887,0.018749892711639404,0.0012915083207190037,0.0012917649000883102,0.00011804730456788093,0.00014332680075312965,39.279439249313796,0.3696760057000583,0.7420205732514569,2.698881930438253,0.33736024130478165
TrustMark Q,13,6.470305379480124e-05,41.89075221418888,0.9949134588241577,0.9955812692642212,nan,nan,0.0014031308237463236,0.9947124123573303,0.9961236119270325,0.9898718297481537,0.9881304502487183,0.9866480827331543,0.007993161678314209,0.00044232766958884895,0.000570053409319371,0.00010671978816390038,0.00010932919940387364,39.71755045490311,0.27783150536288975,0.49087626782638827,1.7974254929169058,0.22467818661461322
TrustMark Q,14,3.1922882044455037e-05,44.95897906810623,0.9904665946960449,0.9941306114196777,nan,nan,0.0008047553128562868,0.9910575747489929,0.9914309978485107,0.9848607182502747,0.982383131980896,0.9811336398124695,0.009047865867614746,0.00047149905003607273,0.0004733833484351635,5.9977937780786306e-05,6.860593202873133e-05,42.22008470650878,0.3277064747529763,0.5994827281005762,2.1731860946784893,0.27164826183481117
TrustMark Q,15,9.391765343025327e-05,40.27252766980443,0.9894924163818359,0.9952332973480225,nan,nan,0.0006358550162985921,0.9874560832977295,0.9921602010726929,0.965110182762146,0.9579320549964905,0.9551165103912354,0.03422814607620239,0.0002513409999664873,0.0002636555000208318,0.00018720515072345734,0.00025357458798680454,37.27682206345767,0.35679264525120746,0.7194236194205407,2.716291468613806,0.33953643357672575
TrustMark Q,16,4.95931162731722e-05,43.045786011720715,0.9913750886917114,0.9951620101928711,nan,nan,0.0013765887124463916,0.990628182888031,0.9915973544120789,0.9861263930797577,0.9777517914772034,0.9702857732772827,0.013845562934875488,0.00030529010109603405,0.00033748429268598557,9.969372331397608e-05,0.00010411034418211784,40.013321838740495,0.3854014912740005,0.7336246873310862,2.4185483261450433,0.3023185407681304
TrustMark Q,17,3.1978888728190213e-05,44.9513663213451,0.9936596155166626,0.9959172010421753,nan,nan,0.0009833468357101083,0.9938697814941406,0.9960319995880127,0.9885944724082947,0.984130322933197,0.9820163249969482,0.011901676654815674,0.0002598771243356168,0.0002599287254270166,6.773362110834569e-05,7.383228239632444e-05,41.69195705947824,0.40644688421968433,0.8310559135960168,2.749686853965244,0.3437108567456555
TrustMark Q,18,0.00010189828026341274,39.91833145516759,0.9898871183395386,0.9939443469047546,nan,nan,0.001958075910806656,0.9898638129234314,0.991462230682373,0.9821600019931793,0.972149133682251,0.9629197120666504,0.01931309700012207,0.00031478930031880736,0.00032206415198743343,0.0002323250228073448,0.0002558874257374555,36.33904011543306,0.4296517500882728,0.8022265171289398,2.557986558098877,0.3197483197623596
TrustMark Q,19,0.00013995174958836287,38.540216678886225,0.9915766716003418,0.9950895309448242,nan,nan,0.0008381298976019025,0.990802526473999,0.9929046630859375,0.9831774532794952,0.9807026386260986,0.9799336194992065,0.012202024459838867,0.00034306111047044396,0.00036252292920835316,0.0002768141566775739,0.0003017006383743137,35.57811703197445,0.34947679780295804,0.6402178068406277,2.2400129819238317,0.28000162274047896
TrustMark Q,20,6.205076351761818e-05,42.072528702579454,0.9879041910171509,0.9942598342895508,nan,nan,0.001035461202263832,0.9869288802146912,0.9890041351318359,0.974689245223999,0.9650530815124512,0.9629018306732178,0.023951053619384766,0.0004969473811797798,0.0005999786662869155,0.00011304997315164655,0.00012966017675353214,39.46729536459649,0.3257550305199985,0.584686356849496,2.124555641240413,0.26556945515505165
TrustMark Q,21,0.00010734647366916761,39.69212217563792,0.9923926591873169,0.996586263179779,nan,nan,0.0009556603617966175,0.9905561208724976,0.9907582998275757,0.98467156291008,0.9831219911575317,0.9829620122909546,0.007636308670043945,0.00019892776617780328,0.00022838640143163502,0.0001823917991714552,0.00018848420222639106,37.38994692623018,0.29257526095698705,0.5142408291775393,1.7671346860487387,0.22089183575609234
TrustMark Q,22,6.451689841924235e-05,41.90326519023087,0.9846796989440918,0.9919941425323486,nan,nan,0.0008072133641690016,0.9837177991867065,0.9882979989051819,0.9698845148086548,0.9654215574264526,0.9610070586204529,0.022876441478729248,0.00042215772555209696,0.0004322658642195165,0.00015122890181373805,0.00018872824148274958,38.2036520156807,0.45141349493568966,0.8750604266963995,2.961547684061123,0.37019346050764035
TrustMark Q,23,5.643549593514763e-05,42.48447654176484,0.9880983233451843,0.9933096766471863,nan,nan,0.0009063126053661108,0.9888638257980347,0.9897714853286743,0.9839085042476654,0.9795181751251221,0.9754793643951416,0.010253310203552246,0.00018045888282358646,0.00018508349603507668,0.00010555209883023053,0.00012395947305776644,39.76533126626101,0.32810436789355985,0.6021412251815579,2.249592359954512,0.281199044994314
TrustMark Q,24,2.81445372820599e-05,45.506058870819444,0.9936425685882568,0.9970425367355347,nan,nan,0.0007407366647385061,0.9937295317649841,0.9943365454673767,0.9909933805465698,0.9904005527496338,0.9901196360588074,0.00393599271774292,0.0003571971319615841,0.000542494177352637,4.996576171834022e-05,5.483668701344868e-05,43.01327487467585,0.25232413983656216,0.4994827300988382,2.0078042153795437,0.25097552692244296
TrustMark Q,25,4.742266901303083e-05,43.24014006979259,0.9908292293548584,0.9956923723220825,nan,nan,0.0005787845002487302,0.9905835390090942,0.992787778377533,0.9825569093227386,0.9749757647514343,0.9691635370254517,0.017812013626098633,0.0007956810877658427,0.0011877104407176375,0.000110147702798713,0.00011754044862755109,39.5802455590991,0.41890190890207485,0.8048211388353907,2.5254935041215862,0.3156866880151983
TrustMark Q,26,4.15962167608086e-05,43.809461673208716,0.9909180402755737,0.9922009706497192,nan,nan,0.0019891357515007257,0.9910824298858643,0.9939459562301636,0.9813233017921448,0.9754631519317627,0.9729127883911133,0.01848280429840088,0.0005348761333152652,0.0005945094744674861,8.789314597379416e-05,0.00010618664236972108,40.56044990475935,0.4081234364553303,0.7694629072400583,2.6723632599643405,0.33404540749554257
TrustMark Q,27,4.6270015445770696e-05,43.347003555247014,0.9944614171981812,0.996330976486206,nan,nan,0.0004351733368821442,0.9937588572502136,0.9940364360809326,0.9899183213710785,0.9890105724334717,0.9888169169425964,0.0050258636474609375,0.00026315805735066533,0.0002684560895431787,0.0001017349713947624,0.00010889741315622814,39.92529732691285,0.42564273513040957,0.8120934199861651,2.6104782733951057,0.3263097841743882
TrustMark Q,28,5.210305971559137e-05,42.831367723131464,0.9892770051956177,0.9932173490524292,nan,nan,0.0010510457213968039,0.9899004697799683,0.9928887486457825,0.9767098426818848,0.9745740294456482,0.9742273092269897,0.018314719200134277,0.00035612485953606665,0.0003715380444191396,0.00010957327322103083,0.00012450518624973483,39.60295364721339,0.36014016967696844,0.6854391523750398,2.3993707643391082,0.29992134554238853
TrustMark Q,29,4.0519898902857676e-05,43.92331646875079,0.992240309715271,0.996353268623352,nan,nan,0.0005804362008348107,0.9914730787277222,0.9927016496658325,0.9839953780174255,0.9818508625030518,0.9799222350120544,0.010850787162780762,0.0004559752414934337,0.0006521992618218064,6.797390233259648e-05,7.040936543489806e-05,41.67657796829765,0.306503175853472,0.5420800436075215,1.7391008319220875,0.21738760399026094
TrustMark Q,30,6.030739677953534e-05,42.19629417817947,0.9929558038711548,0.9964717626571655,nan,nan,0.001002871198579669,0.9918614625930786,0.9949739575386047,0.982656329870224,0.9740626811981201,0.9668493270874023,0.02091127634048462,0.0007158221560530365,0.001039022346958518,0.00012818962568417192,0.00014915513020241633,38.92147120608363,0.39229093215180283,0.8345063121835783,2.864616673592639,0.35807708419907985
TrustMark Q,31,5.8916961279464886e-05,42.297596605665504,0.9949320554733276,0.9969233274459839,nan,nan,0.0007419077446684241,0.9941356182098389,0.9938716888427734,0.9895822703838348,0.9890352487564087,0.988726019859314,0.004836440086364746,0.0003674421168398112,0.00045832054456695914,0.00010960579675156623,0.00012036262523906771,39.601664765939375,0.31307154773236934,0.5666366510618435,2.065202712121944,0.258150339015243
TrustMark Q,32,5.5075721320463344e-05,42.590398062344704,0.992112398147583,0.9952774047851562,nan,nan,0.0009607790852896869,0.9918097257614136,0.9920710325241089,0.9859739243984222,0.9837121367454529,0.9820889234542847,0.008358895778656006,0.00030140214948914945,0.00037783588049933314,0.00011269329115748405,0.0001188420174003113,39.481019375475874,0.38775509088259835,0.6939040424558177,2.197014162497308,0.2746267703121635
TrustMark Q,33,3.217474659322761e-05,44.9248486489277,0.9887708425521851,0.9927462339401245,nan,nan,0.0008546315366402268,0.9885743856430054,0.991705060005188,0.9791589379310608,0.9724822044372559,0.9659045934677124,0.01922285556793213,0.0002174163528252393,0.00022114376770332456,5.945729571976699e-05,6.215557277755579e-05,42.257948475813166,0.3198966234871602,0.641870198554857,2.282513335954906,0.28531416699436324
TrustMark Q,34,6.843447044957429e-05,41.64725088994382,0.9936944246292114,0.9968929290771484,nan,nan,0.0009363646386191249,0.9925774931907654,0.992397129535675,0.9880684614181519,0.9866429567337036,0.986128032207489,0.0057541728019714355,0.00043523809290491045,0.0004723815945908427,0.0001198194659082219,0.0001385447321808897,39.21472620596339,0.25994004514961466,0.5055750534557857,2.127430131235114,0.2659287664043892
TrustMark Q,35,3.682634633150883e-05,44.33841366857174,0.9928568601608276,0.9957200884819031,nan,nan,0.0005428521544672549,0.9927623867988586,0.993492841720581,0.9859689474105835,0.9839276075363159,0.9831994771957397,0.009565234184265137,0.00013063830556347966,0.00013109241263009608,8.165430335793644e-05,9.066150596481748e-05,40.8802092206808,0.4438179455866932,0.8523623991902235,2.7655840395663875,0.34569800494579844
TrustMark Q,36,5.399659858085215e-05,42.67633596919492,0.9895237684249878,0.9942588806152344,nan,nan,0.001111028017476201,0.9889819622039795,0.9908202886581421,0.9796938896179199,0.9766362905502319,0.975413978099823,0.014183998107910156,0.000520803383551538,0.000560458458494395,0.00010220929107163101,0.0001043894408212509,39.90509623988621,0.33026939714388037,0.602296199262327,2.0495657499772086,0.2561957187471511
TrustMark Q,37,6.609694537473843e-05,41.798186106739514,0.987010657787323,0.9925098419189453,nan,nan,0.0009001684375107288,0.9856138229370117,0.9887403249740601,0.9730950891971588,0.9703789949417114,0.9681762456893921,0.018361330032348633,0.0002599007566459477,0.00028525819652713835,0.00011062953853979707,0.00012376550876069814,39.56128899142858,0.2599001446352676,0.4643851644960374,1.8777863138010724,0.23472328922513405
TrustMark Q,38,9.179098560707644e-05,40.37199966874256,0.9909335374832153,0.9950753450393677,nan,nan,0.0007183300331234932,0.9902349710464478,0.9919819235801697,0.9821519553661346,0.9764589071273804,0.9759578704833984,0.015523016452789307,0.00022038200404495,0.00024794047931209207,0.00015916855772957206,0.00016349881116184406,37.98142718967608,0.29225321628887346,0.5170165976883404,1.866613882395312,0.233326735299414
