replicate,global_bootstrap_mse,ours_bootstrap_mse,global_paper_psnr,ours_paper_psnr,ours_minus_global_paper_psnr
7807,0.00024217348138336092,0.00021233744424534962,36.15873414947779,36.729734142408816,0.5709999929310285
7808,0.00023023038869723677,0.00020159221137873827,36.3783735328447,36.95526251098428,0.5768889781395785
7809,0.00023797515837941318,0.0002079667171346955,36.23468375472139,36.82006163697488,0.5853778822534892
7810,0.00023270878969924524,0.0002019927091896534,36.331872125629204,36.946643058793434,0.6147709331642304
7811,0.0002385026152478531,0.00020794711424969138,36.22506854437351,36.82047102104199,0.5954024766684824
7812,0.00023411168804159387,0.00020517354976618663,36.30576903581226,36.87878627629431,0.5730172404820522
7813,0.000240156136569567,0.00020969484496163204,36.19506311609858,36.784122458924806,0.589059342826225
7814,0.00022661037044599652,0.00019852528057526798,36.447202192545525,37.021841815192445,0.5746396226469201
7815,0.00023448519234079869,0.00020512902527116238,36.298845776300524,36.87972883643169,0.5808830601311641
7816,0.00023602720466442406,0.00020644063566578553,36.270379370522576,36.852048123335436,0.5816687528128597
7817,0.00021935606171609833,0.00019310656643938272,36.588503597387366,37.142029581216775,0.5535259838294095
7818,0.0002552888382342644,0.00022418517241021619,35.92968173050184,36.49393114994274,0.5642494194408982
7819,0.0002367383294040337,0.0002067850242019631,36.25731421407511,36.844809169415235,0.5874949553401265
7820,0.0002178301618550904,0.0001883209915831685,36.61881985827707,37.25101267765484,0.6321928193777708
7821,0.000256634796387516,0.00022420943801989779,35.906844592060104,36.493461098780216,0.5866165067201123
7822,0.00022998372849542648,0.00019965610263170675,36.38302889524263,36.99717410745025,0.6141452122076174
7823,0.00022784823057008907,0.00020015061687445268,36.423543397241936,36.986430670389765,0.5628872731478296
7824,0.0002507991576567292,0.0002193693077424541,36.00673926476284,36.58824135241338,0.5815020876505343
7825,0.00025045303045772015,0.00022005797480233015,36.01273709020971,36.57462888178567,0.5618917915759596
7826,0.0002317173095070757,0.0002021538163535297,36.35041522780499,36.943180554402055,0.5927653265970676
7827,0.00024282375408802182,0.00021198827773332595,36.14708830921563,36.73688153488631,0.5897932256706753
